Gene_1,Gene_2
ABCG2,SMAD1
ABCG2,LSM6
ABCG2,LARP1B
ABCG2,ANXA5
ABCG2,IL15
ABCG2,MMRN1
ABCG2,MANBA
ABHD18,UNC5C
ABHD18,H2AZ1
ABHD18,CYP2U1
ABHD18,ADH5
ABHD18,USO1
ABHD18,LARP1B
ABHD18,SEPTIN7P14
ABHD18,C4orf3
ABHD18,GTF2IP12
ABHD18,BLTP1
ABHD18,SEC24B-AS1
ABHD18,HNRNPDL
ABHD18,CDS1
ABHD18,INTU
ABHD18,ANTXR2
ABHD18,PGRMC2
ABHD18,PPM1K
ABHD18,ARHGEF38
ABHD18,CCNI
ABRAXAS1,INPP4B
ABRAXAS1,EIF4E
ABRAXAS1,LARP1B
ABRAXAS1,AREG
ABRAXAS1,ANXA3
ABRAXAS1,CAMK2D
ABRAXAS1,ADH1C
ABRAXAS1,WDFY3-AS2
ABRAXAS1,SEPTIN11
ABRAXAS1,CCNI
ADH1B,ANKRD50
ADH1B,ARSJ
ADH1B,CCNI
ADH1B,MAPK10
ADH1B,ADH1C
ADH1B,MMRN1
ADH1B,USP53
ADH1C,FAM47E
ADH1C,USP53
ADH5,ANTXR2
ADH5,LAMTOR3
ADH5,OTUD4
ADH5,MGST2
ADH5,FAM47E
ADH5,C4orf3
AFF1,ARHGEF38
AIMP1,MMRN1
ALPK1,UNC5C
ALPK1,CYP2U1
ALPK1,ADH5
ALPK1,ANXA3
ALPK1,C4orf3
ALPK1,GTF2IP12
ALPK1,INTU
ALPK1,BMP2K
ALPK1,LINC01094
ALPK1,ABHD18
ALPK1,TSPAN5
ALPK1,IL15
ALPK1,PGRMC2
ALPK1,CCNI
ALPK1,TMEM150C
ALPK1,GPRIN3
ALPK1,ANTXR2
ANAPC10,PYURF
ANAPC10,HNRNPDL
ANAPC10,LSM6
ANAPC10,LAMTOR3
ANAPC10,ENOPH1
ANAPC10,G3BP2
ANAPC10,MRPL1
ANAPC10,ZNF330
ANK2,PPP3CA
ANK2,CDS1
ANK2,AIMP1
ANK2,NFKB1
ANK2,UNC5C
ANK2,TIGD2
ANK2,MANBA
ANK2,RNF150
ANK2,SLC39A8
ANK2,CFI
ANK2,METAP1
ANK2,FAT4
ANK2,GAB1
ANK2,KLHL8
ANK2,PKD2
ANK2,CXCL8
ANKRD17,PYURF
ANKRD17,AFF1
ANKRD17,SCOC
ANKRD17,OTUD4
ANKRD17,NUDT6
ANKRD17,ANKRD50
ANKRD17,ELF2
ANKRD17,LIN54
ANKRD17,SCD5
ANKRD17,MGST2
ANKRD17,SDAD1
ANKRD17,FLJ20021
ANKRD17,WDFY3
ANKRD17,PGRMC2
ANKRD17,PTPN13
ANKRD50,FAM13A
ANKRD50,LIN54
ANKRD50,OTUD4
ANKRD50,CDKL2
ANKRD50,PCDH18
ANTXR2,ARHGEF38
ANTXR2,PGRMC2
ANTXR2,OTUD4
ANXA3,SHROOM3
ANXA3,SLC39A8
ANXA3,SPP1
ANXA3,PRKG2
ANXA3,ADH1C
ANXA3,SLC10A7
ANXA3,CAMK2D
ANXA3,NPNT
ANXA3,ABCE1
ANXA5,LINC01094
ANXA5,THAP9
ANXA5,LAMTOR3
ANXA5,MAPK10
AP1AR,ANKRD17
AP1AR,GPRIN3
AP1AR,FAM13A
AP1AR,NUDT6
AP1AR,KLHL8
AP1AR,OTUD4
AREG,PCDH18
AREG,LIN54
AREG,LINC01094
AREG,HNRNPDL
AREG,BMP3
AREG,SHROOM3
AREG,LAMTOR3
AREG,USP53
AREG,CXCL8
AREG,NOCT
AREG,RASGEF1B
ARSJ,SHROOM3
ARSJ,FAM13A
BANK1,UNC5C
BANK1,MAML3
BANK1,FRAS1
BANK1,SLC39A8
BANK1,PRSS12
BANK1,DAPP1
BBS12,NAP1L5
BBS12,NOCT
BBS12,FAM47E
BBS12,CDS1
BBS12,LARP7
BBS12,PLAC8
BBS12,HNRNPDL
BBS12,BLTP1
BBS12,ZGRF1
BBS12,BDH2
BBS12,OTUD4
BDH2,SMAD1
BDH2,LIN54
BLTP1,HADH
BLTP1,OSTC
BLTP1,BMP3
BLTP1,CDS1
BLTP1,PLAC8
BLTP1,HNRNPDL
BLTP1,CCNI
BLTP1,GTF2IP12
BLTP1,C4orf3
BLTP1,ANXA5
BLTP1,LARP1B
BLTP1,INTU
BLTP1,ANTXR2
BLTP1,IL15
BLTP1,PGRMC2
BLTP1,PPM1K
BLTP1,SEPTIN7P14
BMP2K,HPSE
BMP2K,LINC01094
BMP3,CDKL2
BMP3,AFF1
BMP3,NOCT
BMP3,ABCE1
BTC,SMAD1
BTC,HADH
BTC,NDNF
BTC,NPNT
BTC,FAM47E
BTC,CDS1
BTC,SHROOM3
BTC,PDE5A
BTC,MAPK10
BTC,PRSS12
C4orf3,ABCE1
C4orf3,MGST2
C4orf3,PYURF
C4orf3,GPRIN3
CAMK2D,HNRNPDL
CAMK2D,SLC10A7
CCNA2,PLK4
CCNA2,MAD2L1
CCNG2,ABCE1
CCNG2,NAA15
CCNG2,NOCT
CCNG2,MANBA
CCNG2,MFSD8
CCNG2,MAML3
CCNG2,ABHD18
CCNG2,LARP1B
CCNG2,PAQR3
CCNG2,CCNI
CCNG2,CAMK2D
CCNG2,HNRNPDL
CCNG2,WDFY3-AS2
CCNG2,SGMS2
CCNG2,KLHL8
CCNG2,SETD7
CCNG2,ABRAXAS1
CCNI,OTUD4
CCNI,PGRMC2
CCNI,ARHGEF38
CCNI,ABCE1
CCNI,IL15
CCNI,NAAA
CCNI,ANTXR2
CCNI,WDFY3-AS2
CCNI,INTU
CCNI,BMP3
CCNI,HNRNPDL
CDKL2,AFF1
CDKL2,SLC39A8
CDKL2,ARHGEF38
CDS1,PCDH18
CDS1,IL15
CDS1,FAM47E
CDS1,SHROOM3
CDS1,TSPAN5
CDS1,BMP3
CDS1,CDKL2
CDS1,SLC39A8
CFI,AIMP1
CFI,RASGEF1B
CFI,SPRY1
CFI,MCUB
CFI,SMAD1
CFI,LIN54
CFI,PPM1K
CFI,BDH2
CFI,DAPP1
CFI,PTPN13
CFI,MAML3
CISD2,HPSE
CISD2,LAMTOR3
CNOT6L,CDKL2
CNOT6L,LIN54
CNOT6L,CAMK2D
CNOT6L,SLC39A8
CNOT6L,AFF1
CNOT6L,PPP3CA
CNOT6L,ANXA3
COPS4,PDE5A
COPS4,STBD1
COPS4,PRDM8
COPS4,SCARB2
COPS4,ANAPC10
COPS4,CCNG2
COPS4,SCOC
COPS4,THAP6
COPS4,SEPTIN7P14
COPS4,ANKRD17
COPS4,THAP9-AS1
COPS4,MTHFD2L
COPS4,ENOPH1
COPS4,C4orf3
COPS4,ZGRF1
COPS4,GTF2IP12
COPS4,CCNI
COPS4,FAM13A
COPS4,HNRNPDL
COPS4,INTU
COPS4,OTUD4
COPS4,AFF1
COPS4,LARP1B
COPS4,BLTP1
COPS4,ADH5
COPS4,EMCN
COPS4,MCUB
COPS4,ABHD18
COPS4,ELF2
COPS4,H2AZ1
COPS4,G3BP2
COPS4,SCD5
COPS4,MFSD8
COPS4,ZNF330
COPS4,DKK2
COPS4,PTPN13
COPS4,ALPK1
COQ2,LAMTOR3
COQ2,DAPP1
COQ2,RAB33B
COQ2,MANBA
COQ2,FGF2
COQ2,LINC01094
COQ2,HADH
COQ2,ANXA5
COQ2,GPRIN3
COQ2,TMEM150C
CXCL1,CXCL8
CXCL1,MAPK10
CXCL1,AREG
CXCL10,CXCL11
CXCL2,LARP1B
CXCL2,AREG
CXCL2,PCDH18
CXCL2,BMP3
CXCL2,DAPP1
CXCL2,CXCL5
CXCL2,NOCT
CXCL2,MANBA
CXCL2,LINC01094
CXCL3,JADE1
CXCL3,CCNG2
CXCL3,PDLIM5
CXCL3,NAP1L5
CXCL3,CXCL2
CXCL3,MANBA
CXCL3,LARP1B
CXCL3,AREG
CXCL3,CXCL5
CXCL3,PCDH18
CXCL3,NOCT
CXCL3,SGMS2
CXCL3,ABCE1
CXCL8,NOCT
