Gene_1,Gene_2
CFI,PRSS12
CFI,ZNF330
CFI,PTPN13
CFI,PARM1
CFI,ALPK1
CFI,SPRY1
CFI,OSTC
CFI,RASGEF1B
CISD2,PYURF
CNOT6L,PCDH18
COPS4,GTF2IP12
COPS4,PTPN13
COPS4,DKK2
COPS4,AFF1
COPS4,ZNF330
COPS4,FAM13A
COPS4,ZGRF1
COPS4,G3BP2
COPS4,CCNG2
COPS4,ELF2
COPS4,C4orf3
COPS4,THAP9-AS1
COPS4,HSD17B11
COPS4,SCARB2
COPS4,ADH5
COPS4,BLTP1
COQ2,GPRIN3
COQ2,HADH
COQ2,ALPK1
COQ2,MANBA
COQ2,LINC01094
COQ2,ANXA5
CXCL1,CXCL8
CXCL1,CDKL2
CXCL1,AREG
CXCL10,CXCL11
CXCL2,CXCL1
CXCL2,AREG
CXCL2,CXCL5
CXCL3,TRAM1L1
CXCL3,AREG
CXCL3,CXCL5
CXCL3,CXCL8
CXCL3,NOCT
CXCL3,CXCL2
CXCL5,GPRIN3
CXCL8,NOCT
CXCL9,BMP2K
CXCL9,NPNT
CXCL9,RNF150
CXCL9,NAAA
CXCL9,ADH1B
CXCL9,IL15
CYP2U1,PLAC8
CYP2U1,ADH1B
DAPP1,LINC01094
DAPP1,NAAA
DAPP1,PYURF
DAPP1,SLC39A8
DAPP1,GPRIN3
DAPP1,ADH5
DKK2,CYP2U1
DKK2,ANKRD50
DNAJB14,LIN54
DNAJB14,NOCT
ELF2,OTUD4
ELF2,NOCT
ELMOD2,ADH1B
ELMOD2,OSTC
ELMOD2,PPP3CA
EMCN,PRSS12
EMCN,SCD5
EMCN,TMEM150C
EMCN,ANTXR2
ENOPH1,SMAD1
ENOPH1,PTPN13
ENOPH1,SEPTIN11
ENOPH1,CAMK2D
ENOPH1,LIN54
ENOPH1,PYURF
FAM13A,CDKL2
FAM13A,USP53
FAM13A,SHROOM3
FAM13A,GPRIN3
FAM13A-AS1,INTU
FAM13A-AS1,BLTP1
FAM13A-AS1,ABHD18
FAM13A-AS1,ZGRF1
FAM13A-AS1,TET2
FAM13A-AS1,SEC31A
FAM13A-AS1,CDS1
FAM241A,RNF150
FAM241A,NAA15
FAM241A,EMCN
FAM241A,MMRN1
FAM241A,SHROOM3
FAM241A,SPRY1
FAM241A,UBE2D3
FAM241A,SMAD1
FAM241A,G3BP2
FAT4,UNC5C
FAT4,USO1
FAT4,ANXA3
FAT4,CCNI
FAT4,GPRIN3
FAT4,BANK1
FGF2,OTUD4
FGF2,EIF4E
FGF2,SHROOM3
FGF2,ARSJ
FGF2,HNRNPDL
FGF2,FAM13A
FLJ20021,SPRY1
FRAS1,SEPTIN11
FRAS1,HADH
FRAS1,ANKRD50
FRAS1,NPNT
FRAS1,CCNI
FRAS1,MMRN1
FRAS1,MAML3
G3BP2,PKD2
G3BP2,DKK2
G3BP2,SPRY1
G3BP2,GPRIN3
G3BP2,LIN54
G3BP2,RASGEF1B
G3BP2,CNOT6L
GAB1,RAB33B
GAB1,SLC39A8
GAB1,ANXA5
GAB1,ANXA3
GAB1,CFI
GAB1,FAT4
GAB1,HSPA4L
GAR1,SEC24B
GAR1,ELF2
GAR1,UBE2D3
GAR1,HNRNPD
GPRIN3,SHROOM3
GPRIN3,COX18
GPRIN3,LINC01094
GTF2IP12,ANXA5
GYPE,PYURF
GYPE,PRKG2
GYPE,SCD5
GYPE,ANXA3
GYPE,AREG
GYPE,SMAD1
H2AZ1,ARSJ
HADH,AFF1
HADH,CDS1
HADH,NAAA
HERC5,SMAD1
HERC5,MANBA
HERC5,ELOVL6
HERC5,LSM6
HERC5,H2AZ1
HERC5,HADH
HERC5,CCNI
HERC5,PPM1K
HERC5,HERC6
HERC6,MANBA
HERC6,CCNI
HHIP,CDKL2
HHIP,SLC39A8
HHIP,BMP3
HHIP,SGMS2
HHIP,HHIP-AS1
HHIP,AREG
HHIP,CDS1
HHIP-AS1,SLC39A8
HHIP-AS1,PTPN13
HHIP-AS1,PAQR3
HHIP-AS1,CDKL2
HHIP-AS1,AREG
HHIP-AS1,FAM13A
HHIP-AS1,CDS1
HNRNPD,ANXA5
HNRNPD,UBE2D3
HNRNPD,INTU
HNRNPD,LAMTOR3
HNRNPD,CCNI
HNRNPD,HNRNPDL
HNRNPDL,ANTXR2
HNRNPDL,PCDH18
HPGDS,BMP2K
HSD17B11,FAM47E
HSD17B11,LARP1B
HSD17B11,NUDT9
HSD17B11,CXCL2
HSD17B11,RASSF6
HSPA4L,CDKL2
HSPA4L,CDS1
HSPA4L,NPNT
INPP4B,CDKL2
INPP4B,BMP3
INPP4B,CAMK2D
INPP4B,UNC5C
INPP4B,PTPN13
INTS12,NPNT
JADE1,PDE5A
JADE1,NDNF
JADE1,METAP1
JADE1,TRAM1L1
JADE1,TET2
JADE1,SMAD1
JADE1,PGRMC2
JADE1,AREG
JADE1,PCDH18
JADE1,AFF1
JADE1,USP53
JADE1,CDKL2
JADE1,ANKRD50
JADE1,BMP3
JADE1,FAM13A
JADE1,INTU
KLHL8,SCD5
LARP1B,ABCE1
LARP1B,ARHGAP24
LARP1B,ANXA5
LARP7,HNRNPDL
LARP7,HNRNPD
LARP7,CDS1
LARP7,HADH
LARP7,CCNI
LEF1,CXCL9
LEF1,HNRNPDL
LIN54,PGRMC2
LIN54,MGST2
LINC01088,FRAS1
LINC01088,PKD2
LINC01088,PDE5A
LINC01088,HHIP
LINC01088,GPAT3
LINC01088,SPARCL1
LINC01091,ADH1C
LINC01094,SHROOM3
LINC01094,PLAC8
LSM6,SPP1
MAML3,MCUB
MAML3,UNC5C
MAML3,NFKB1
MANBA,GPRIN3
MANBA,ANXA5
MANBA,CAMK2D
MAPK10,ADH1C
MAPK10,FAM47E
MCUB,SPRY1
MCUB,HPSE
MCUB,GTF2IP12
MCUB,NAAA
MCUB,PYURF
MCUB,COX18
METAP1,ARHGAP24
METAP1,TSPAN5
METAP1,SEC24B
METAP1,CAMK2D
METTL14,SHROOM3
MFSD8,ANXA5
MFSD8,USO1
MFSD8,INTU
MTHFD2L,SGMS2
MTHFD2L,HNRNPDL
NAA15,NFKB1
NAA15,ABCE1
NAA15,SEC24B
NAAA,PCDH18
NAAA,ARHGAP24
NAP1L5,NAA15
NAP1L5,ALPK1
NAP1L5,SPRY1
NAP1L5,PCDH18
NAP1L5,GPAT3
NAP1L5,NOCT
NAP1L5,AREG
NDNF,SHROOM3
NDNF,ANXA3
NDNF,ANKRD50
NDNF,PRKG2
NDNF,MAPK10
NDUFC1,EIF4E
NFKB1,INTU
NFKB1,SHROOM3
NFKB1,OTUD4
NPNT,WDFY3-AS2
NPNT,ADH1C
NPNT,USP53
NUDT9,HHIP-AS1
NUDT9,DAPP1
NUP54,SEC31A
OSTC,PYURF
OSTC,CISD2
OSTC,CCNI
OTUD4,AFF1
PAPSS1,SHROOM3
PAPSS1,CDKL2
PARM1,ADH1C
PARM1,NPNT
PARM1,ANXA3
PARM1,PTPN13
PARM1,FRAS1
PARM1,NAA15
PDE5A,G3BP2
PDE5A,PKD2
PDE5A,RNF150
PDE5A,PRSS12
PDE5A,INPP4B
PDE5A,FRAS1
PDE5A,UNC5C
PDE5A,ADH1B
PDE5A,ANKRD50
PDE5A,PTPN13
PDE5A,ANXA3
PDE5A,MMRN1
PDE5A,USP53
PDE5A,SEPTIN11
PDLIM5,HNRNPDL
PDLIM5,NAAA
PDLIM5,ADH5
PDLIM5,CXCL9
PDLIM5,INPP4B
PDLIM5,PKD2
PDLIM5,SYNPO2
PDLIM5,FAM241A
PF4,CXCL5
PKD2,FGF2
PKD2,NDNF
PKD2,SEPTIN11
PKD2,HPSE
PLAC8,CDS1
PLAC8,FAM47E
PLAC8,SLC39A8
PPA2,PARM1
PPA2,HHIP-AS1
PPA2,CFI
PPA2,H2AZ1
PPA2,ADH5
PPA2,RAB33B
PPA2,HNRNPDL
PPA2,OTUD4
PPA2,PYURF
PPA2,COX18
PPA2,NDUFC1
PPA2,ZNF330
PPBP,PF4
PPBP,MANBA
PPBP,GPRIN3
PPBP,CXCL5
PPBP,AREG
PRDM5,PDE5A
PRDM5,NDNF
PRDM8,MCUB
PRDM8,FLJ20021
PRKG2,SLC39A8
PRKG2,PPM1K
PRSS12,FRAS1
PRSS12,PTPN13
PRSS12,MCUB
PRSS12,ADH5
PRSS12,LINC01091
PRSS12,FAM47E
PRSS12,SLC39A8
PTPN13,ADH5
PTPN13,SEPTIN11
PTPN13,C4orf3
PTPN13,BLTP1
PTPN13,MAPK10
PTPN13,ARHGEF38
PTPN13,CDS1
PTPN13,BMP3
PTPN13,OTUD4
PTPN13,CDKL2
PTPN13,FAM47E
PTPN13,CAMK2D
PYURF,PPP3CA
RAB33B,PPP3CA
RAP1GDS1,C4orf3
RAP1GDS1,ANXA5
RASGEF1B,NOCT
RASGEF1B,ANXA5
RASSF6,CDKL2
RASSF6,CDS1
RASSF6,GPRIN3
RASSF6,SEPTIN11
RASSF6,NDNF
RNF150,NPNT
RNF150,CDS1
RNF150,SMAD1
RPL34,ABCE1
RPL34,ABRAXAS1
RPL34,CNOT6L
RPL34,NDUFC1
RPL34,DKK2
RPL34,CISD2
RPL34,CCNI
RPL34,SCOC
SCARB2,ANTXR2
SCARB2,ADH1C
SCARB2,G3BP2
SCARB2,DAPP1
SCARB2,SPARCL1
SCARB2,PGRMC2
SCARB2,ARHGAP24
SCD5,TMEM150C
SCD5,NDNF
SCD5,USO1
SCD5,ANXA3
SCD5,C4orf3
SCD5,PLAC8
SCD5,PPP3CA
SCD5,PRKG2
SCLT1,HHIP-AS1
SCLT1,HHIP
SCLT1,BTC
SCLT1,SLC39A8
SCLT1,GPRIN3
SCOC,ENOPH1
SCOC,OSTC
SDAD1,ABCE1
SDAD1,UBE2D3
SEC24B,ARHGAP24
SEC24D,H2AZ1
SEC24D,OSTC
SEC24D,USO1
SEC31A,SEC24D
SEC31A,BLTP1
SEC31A,SEPTIN11
SEC31A,LARP7
SEC31A,HNRNPD
SEPTIN11,ANXA5
SEPTIN11,PYURF
SEPTIN7P14,C4orf3
SEPTIN7P14,GTF2IP12
SETD7,NAA15
SETD7,PKD2
SETD7,KLHL8
SETD7,LARP1B
SETD7,INTU
SETD7,ANTXR2
SETD7,FAT4
SETD7,LINC01088
SETD7,SYNPO2
SETD7,G3BP2
SGMS2,PDE5A
SGMS2,ABCE1
SGMS2,PARM1
SGMS2,SHROOM3
SGMS2,CXCL5
SGMS2,ANXA5
SGMS2,AREG
SGMS2,SPRY1
SGMS2,SDAD1
SGMS2,SMARCA5
SGMS2,HHIP-AS1
SHROOM3,GPAT3
SLC39A8,ARHGEF38
SLC9B2,PDLIM5
SMAD1,ELF2
SMAD1,SLC39A8
SMAD1,AREG
SMAD1,TSPAN5
SMAD1,MMRN1
SMAD1,PPP3CA
SMARCA5,HNRNPDL
SMARCAD1,BLTP1
SMARCAD1,NFKB1
SMARCAD1,FRAS1
SMARCAD1,LIN54
SNCA,HADH
SNCA,STBD1
SNCA,NDNF
SOWAHB,FAM47E
SOWAHB,CDS1
SOWAHB,NDNF
SOWAHB,USO1
SOWAHB,CNOT6L
SOWAHB,ARSJ
SOWAHB,SGMS2
SPARCL1,MMRN1
SPARCL1,SPRY1
SPARCL1,BMP3
SPARCL1,CISD2
SPARCL1,ANKRD50
SPARCL1,FRAS1
SPARCL1,SMAD1
SPARCL1,EMCN
SPARCL1,ENOPH1
SPARCL1,G3BP2
SPARCL1,PDE5A
SPARCL1,GPAT3
SPARCL1,PKD2
SPRY1,USO1
SPRY1,AIMP1
STBD1,SEC24B-AS1
STBD1,HPSE
STBD1,CYP2U1
SYNPO2,RNF150
SYNPO2,PARM1
SYNPO2,PKD2
SYNPO2,INPP4B
SYNPO2,MAML3
SYNPO2,ANXA3
TBC1D9,ADH1B
TBC1D9,GPRIN3
TBC1D9,ARHGAP24
TBC1D9,PPM1K
TBC1D9,FRAS1
TBC1D9,HERC5
TBCK,HPGDS
TET2,DAPP1
TET2,NFKB1
TET2,ELF2
TET2,SCLT1
TET2,FRAS1
TET2,ADH5
TET2,BLTP1
TET2,HADH
TET2,PGRMC2
TET2,OTUD4
TET2,FAM13A
TET2,GTF2IP12
TET2,SMARCAD1
TET2,SCD5
TET2,FLJ20021
TET2,ABHD18
TET2,CCNI
THAP6,USO1
THAP6,UBE2D3
THAP6,MFSD8
THAP6,H2AZ1
THAP9-AS1,TET2
THAP9-AS1,ZGRF1
THAP9-AS1,HNRNPDL
TIFA,H2AZ1
TIFA,UBE2D3
TIFA,STBD1
TIGD2,NOCT
TMEM150C,GPRIN3
TMEM150C,CDKL2
TMEM150C,MGST2
TMEM150C,USO1
TNIP3,NFKB1
TNIP3,NDNF
TRAM1L1,AREG
TRAM1L1,OSTC
TRAM1L1,TSPAN5
TRAM1L1,SMARCAD1
UNC5C,ANXA3
UNC5C,SHROOM3
UNC5C,SLC39A8
UNC5C,IL15
USO1,CCNI
USO1,BLTP1
USP38,OTUD4
USP38,KLHL8
USP38,UBE2D3
WDFY3,PARM1
WDFY3-AS2,PGRMC2
ZGRF1,WDFY3-AS2
ZGRF1,INTU
ZGRF1,CDS1
ZGRF1,HNRNPDL
ZGRF1,BLTP1
ZGRF1,ADH5
ZNF330,PCDH18
ZNF330,CXCL1
ZNF827,PRKG2
ZNF827,ADH1B
ZNF827,ANXA5
