Gene_1,Gene_2
ABCG2,ANTXR2
ABCG2,TSPAN5
ABCG2,GPRIN3
ABHD18,ANTXR2
ABHD18,INTU
ABHD18,HNRNPDL
ABHD18,BLTP1
ABHD18,H2AZ1
ABRAXAS1,WDFY3-AS2
ADH1B,CAMK2D
ADH1B,FAM13A
ADH1B,ARSJ
ADH5,SLC39A8
ADH5,INTU
ADH5,ANXA3
ALPK1,OSTC
ANK2,INPP4B
ANK2,PPP3CA
ANK2,TBC1D9
ANK2,ABCG2
ANK2,SYNPO2
ANK2,CFI
ANK2,SGMS2
ANK2,PKD2
ANK2,RNF150
ANKRD17,ADH5
ANKRD17,FLJ20021
ANKRD17,GAR1
ANKRD50,PCDH18
ANKRD50,HADH
ANKRD50,NAAA
ANKRD50,FAM13A
ANKRD50,AREG
ANKRD50,CDKL2
ANXA3,SLC39A8
ANXA3,NPNT
ANXA3,PRKG2
ANXA3,TSPAN5
ANXA5,PPM1K
AP1AR,TIFA
AP1AR,METAP1
AP1AR,CFI
AREG,NOCT
AREG,ARHGEF38
AREG,RASGEF1B
AREG,CDKL2
AREG,MMRN1
AREG,INTU
ARHGAP24,FAM47E
ARSJ,CAMK2D
ARSJ,PRKG2
ARSJ,SHROOM3
ARSJ,HNRNPDL
BANK1,DAPP1
BANK1,SEPTIN11
BANK1,ARHGEF38
BANK1,SLC39A8
BBS12,FGF2
BBS12,SYNPO2
BBS12,ABCG2
BBS12,CDS1
BBS12,NAP1L5
BBS7,MGST2
BDH2,FRAS1
BDH2,HADH
BLTP1,HNRNPDL
BLTP1,LINC01094
BLTP1,ANXA3
BLTP1,LARP1B
BLTP1,PLAC8
BMP2K,LINC01094
BMP2K,MRPL1
BMP3,IL15
BMP3,PPP3CA
BTC,MAPK10
BTC,RNF150
BTC,PDE5A
BTC,SYNPO2
BTC,HHIP
BTC,NPNT
C4orf3,CDKL2
C4orf3,GPRIN3
C4orf3,SEC24B
C4orf3,PYURF
C4orf3,PCDH18
C4orf3,FAM13A
C4orf36,RASGEF1B
CCNA2,PLK4
CCNA2,H2AZ1
CCNA2,ZGRF1
CCNA2,MAD2L1
CCNA2,COQ2
CCNA2,PRDM5
CCNA2,ARHGEF38
CCNG2,NAP1L5
CCNG2,PAQR3
CCNG2,PCDH18
CCNG2,SGMS2
CCNG2,BBS7
CCNI,WDFY3-AS2
CCSER1,ANKRD50
CCSER1,SLC39A8
CCSER1,SNHG8
CDKL2,SLC39A8
CDKL2,ARHGEF38
CDS1,PCDH18
CDS1,FAM47E
CDS1,CDKL2
CDS1,MMRN1
CDS1,SHROOM3
CDS1,BMP3
CFI,GPAT3
CFI,PARM1
CFI,PTPN13
CFI,CCNI
CFI,CDS1
CFI,ANTXR2
CFI,FAM241A
CISD2,LAMTOR3
CNOT6L,FAM13A
CNOT6L,PCDH18
COPS4,HSD17B11
COPS4,UBE2D3
COPS4,MGST2
COPS4,AFF1
COPS4,MRPL1
COQ2,LINC01094
COQ2,CXCL1
COQ2,MANBA
COQ2,SGMS2
CXCL1,CXCL8
CXCL1,AREG
CXCL1,SPRY1
CXCL10,CXCL11
CXCL2,CXCL1
CXCL2,KLHL8
CXCL2,SMARCA5
CXCL2,ADH1B
CXCL2,AREG
CXCL3,CXCL5
CXCL3,GPRIN3
CXCL3,NOCT
CXCL3,PCDH18
CXCL3,OTUD4
CXCL3,CXCL8
CXCL3,CXCL2
CXCL3,CCNG2
CXCL3,PAQR3
CXCL8,NOCT
CXCL8,PPM1K
CXCL9,H2AZ1
CXCL9,AIMP1
CXCL9,CXCL11
CXCL9,BMP2K
CXCL9,PPM1K
CXCL9,CXCL10
CXCL9,NAAA
CYP2U1,HNRNPDL
CYP2U1,CDS1
CYP2U1,WDFY3-AS2
CYP2U1,ANTXR2
CYP2U1,ADH5
DAPP1,FLJ20021
DAPP1,USO1
DAPP1,MCUB
DAPP1,FAM13A
DAPP1,SHROOM3
DAPP1,CDS1
DAPP1,GPRIN3
DAPP1,LINC01094
DKK2,HNRNPDL
DKK2,MMRN1
DKK2,LAMTOR3
DNAJB14,GPRIN3
DNAJB14,LINC02615
DNAJB14,ELF2
DNAJB14,NDNF
DNAJB14,ANKRD50
