Gene_1,Gene_2
ZNF827,TBC1D9
ZNF827,C4orf36
ZNF827,GSTCD
ZNF827,CCNG2
ZNF827,BBS12
ZNF827,HERC5
ZNF827,PDE5A
ZNF827,HERC6
ZNF827,DKK2
ZNF827,SPATA5
ZNF827,TMEM150C
ZNF827,CYP2U1
ZNF827,ADH1B
ZNF827,ADH5
ZNF827,SLC10A7
ZNF827,WDFY3-AS2
ZNF827,ANTXR2
CCNG2,CCNA2
CCNG2,NUP54
CCNG2,THAP6
CCNG2,ZNF827
CCNG2,GAR1
CCNG2,HERC5
CCNG2,CFI
CCNG2,STBD1
CCNG2,NAA15
CCNG2,SDAD1
CCNG2,UBE2D3
CCNG2,FGF2
CCNG2,EIF4E
CCNG2,LARP1B
CCNG2,SEPTIN7P14
CCNG2,ANXA3
CCNG2,ARSJ
CCNG2,FAM13A
CCNG2,ANXA5
CCNG2,AIMP1
CCNG2,ADH1C
CCNG2,BMP3
CCNG2,OTUD4
CCNG2,PGRMC2
CCNG2,SLC39A8
CCNG2,ABCE1
ANAPC10,THAP9-AS1
ANAPC10,THAP6
ANAPC10,HERC5
ANAPC10,STBD1
ANAPC10,ZGRF1
ANAPC10,ADH1B
ANAPC10,ADH5
ANAPC10,SEPTIN11
ANAPC10,SEPTIN7P14
ANAPC10,ANTXR2
PDLIM5,GAB1
PDLIM5,TBC1D9
PDLIM5,SCARB2
PDLIM5,C4orf36
PDLIM5,SCOC
PDLIM5,ABCG2
PDLIM5,HERC5
PDLIM5,PAPSS1
PDLIM5,PDE5A
PDLIM5,SPATA5
PDLIM5,MCUB
PDLIM5,NDNF
PDLIM5,ANXA3
PDLIM5,NPNT
PDLIM5,FAM13A
PDLIM5,SLC10A7
PDLIM5,PLAC8
PDLIM5,PRKG2
PDLIM5,CDS1
PDLIM5,ARHGAP24
PDLIM5,CDKL2
SCLT1,HERC6
SETD7,LEF1
SETD7,HHIP
SETD7,PRDM8
SETD7,EMCN
SETD7,SCD5
SETD7,NDNF
SETD7,ANXA3
SETD7,NPNT
SETD7,AIMP1
SETD7,PRKG2
SETD7,ARHGAP24
SETD7,SLC39A8
BBS12,THAP6
BBS12,ZNF827
BBS12,ABCG2
BBS12,MTHFD2L
BBS12,SGMS2
BBS12,STBD1
BBS12,UBE2D3
BBS12,EIF4E
BBS12,AREG
BBS12,AIMP1
BBS12,MRPL1
TNIP3,CASP6
TNIP3,HSD17B11
TNIP3,HERC5
TNIP3,CFI
TNIP3,MANBA
TNIP3,ADH5
TNIP3,LINC01094
TNIP3,HNRNPDL
TNIP3,BMP3
TNIP3,MGST2
RASSF6,NUP54
RASSF6,HSD17B11
RASSF6,COQ2
RASSF6,CFI
RASSF6,MANBA
RASSF6,LINC01094
NAP1L5,SCARB2
NAP1L5,SCOC
NAP1L5,PARM1
GAR1,CCNA2
GAR1,NUP54
GAR1,INTS12
GAR1,CCNG2
GAR1,TRAM1L1
GAR1,MTHFD2L
GAR1,HERC5
GAR1,CFI
GAR1,STBD1
GAR1,FLJ20021
GAR1,NAA15
GAR1,RNF150
GAR1,SDAD1
GAR1,MANBA
GAR1,ZNF330
GAR1,INPP4B
GAR1,ADH5
GAR1,LARP1B
GAR1,AIMP1
GAR1,HNRNPDL
GAR1,BMP3
ABCG2,NUP54
ABCG2,PDLIM5
ABCG2,BBS12
ABCG2,PLA2G12A
ABCG2,DAPP1
ABCG2,LARP1B
ABCG2,ARSJ
ABCG2,AIMP1
ABCG2,ABCE1
LINC01088,EMCN
LINC01088,C4orf3
TRAM1L1,C4orf36
TRAM1L1,GAR1
TRAM1L1,UBE2D3
TRAM1L1,HERC6
TRAM1L1,PPM1K
TRAM1L1,MRPL1
MMAA,HERC5
WDFY3,USP53
FAT4,CFI
EXOSC9,TBCK
EXOSC9,HERC5
EXOSC9,HERC6
EXOSC9,CYP2U1
EXOSC9,HNRNPDL
EXOSC9,PPM1K
PF4,PPBP
PF4,PAPSS1
PF4,PARM1
PPA2,ANK2
PPA2,FAM13A-AS1
PPA2,THAP9-AS1
PPA2,THAP6
PPA2,CNOT6L
PPA2,AREG
PPA2,INTU
SNCA,FRAS1
SNCA,NDNF
SNCA,RCHY1
SNCA,SLC39A8
PLA2G12A,AP1AR
PLA2G12A,NUP54
PLA2G12A,ABCG2
PLA2G12A,CXCL2
PLA2G12A,FAM241A
PLA2G12A,UBE2D3
PLA2G12A,FGF2
PLA2G12A,SEPTIN11
PLA2G12A,GPAT3
PLA2G12A,USP53
PLA2G12A,PGRMC2
PLA2G12A,ABCE1
PLA2G12A,NOCT
MTHFD2L,GAB1
MTHFD2L,TBCK
MTHFD2L,THAP6
MTHFD2L,BBS12
MTHFD2L,GAR1
MTHFD2L,PDE5A
MTHFD2L,BDH2
MTHFD2L,PKD2
MTHFD2L,RNF150
MTHFD2L,SDAD1
MTHFD2L,INPP4B
MTHFD2L,EIF4E
MTHFD2L,TMEM150C
MTHFD2L,MAML3
MTHFD2L,CYP2U1
MTHFD2L,FAM13A
MTHFD2L,RAB33B
MTHFD2L,SLC10A7
MTHFD2L,THAP9
MTHFD2L,INTU
MTHFD2L,PPM1K
MTHFD2L,MRPL1
HERC5,ANK2
HERC5,GAB1
HERC5,USP38
HERC5,SLC9B2
HERC5,THAP6
HERC5,SEC31A
HERC5,INTS12
HERC5,ZNF827
HERC5,CCNG2
HERC5,ANAPC10
HERC5,PDLIM5
HERC5,TNIP3
HERC5,GAR1
HERC5,MMAA
HERC5,EXOSC9
HERC5,CXCL2
HERC5,ABRAXAS1
HERC5,SGMS2
HERC5,PDE5A
HERC5,PARM1
HERC5,STBD1
HERC5,FLJ20021
HERC5,NAA15
HERC5,HNRNPD
HERC5,RAB33B-AS1
HERC5,PRSS12
HERC5,UBE2D3
HERC5,SEC24D
HERC5,ZNF330
HERC5,EIF4E
HERC5,MAML3
HERC5,NFKB1
HERC5,OSTC
HERC5,LARP1B
HERC5,AREG
HERC5,SEPTIN7P14
HERC5,NUDT6
HERC5,ARSJ
HERC5,AIMP1
HERC5,THAP9
HERC5,PRKG2
HERC5,BMP3
HERC5,INTU
HERC5,CXCL8
HERC5,PPM1K
HERC5,ABCE1
HERC5,NOCT
CXCL9,JADE1
CXCL9,PDE5A
CXCL9,TMEM150C
CXCL9,CXCL10
CXCL9,NPNT
CXCL9,CXCL11
HPGDS,SLC9B2
HPGDS,UBE2D3
HPGDS,SEC24D
HPGDS,EIF4E
HPGDS,NUDT6
HPGDS,FAM47E
HPGDS,ABCE1
BTC,PRDM8
BTC,MAML3
CXCL2,TBC1D9
CXCL2,SCARB2
CXCL2,SCOC
CXCL2,PLA2G12A
CXCL2,HERC5
CXCL2,SCD5
CXCL2,CXCL1
CXCL2,C4orf3
CXCL2,RAB33B
COQ2,RASSF6
COQ2,CFI
COQ2,SMARCA5
COQ2,EIF4E
COQ2,ABHD18
SPARCL1,RAP1GDS1
SPARCL1,SCARB2
SPARCL1,PRDM8
SPARCL1,ENOPH1
SPARCL1,AIMP1
SPARCL1,ADH1C
SPARCL1,LAMTOR3
SPARCL1,SLC39A8
HHIP,SETD7
SYNPO2,CFI
SYNPO2,INPP4B
SYNPO2,UNC5C
METAP1,LINC02615
PRDM8,SETD7
PRDM8,BTC
PRDM8,SPARCL1
PRDM8,PAPSS1
PRDM8,ZNF330
PRDM8,UNC5C
PRDM8,ADH1B
PRDM8,USP53
PRDM8,ARHGEF38
ABRAXAS1,HERC5
ABRAXAS1,BDH2
ABRAXAS1,FLJ20021
ABRAXAS1,HERC6
ABRAXAS1,INPP4B
ABRAXAS1,LARP1B
ABRAXAS1,MGST2
CFI,GSTCD
CFI,CCNG2
CFI,TNIP3
CFI,RASSF6
CFI,GAR1
CFI,FAT4
CFI,COQ2
CFI,SYNPO2
CFI,PDE5A
CFI,PARM1
CFI,PKD2
CFI,EMCN
CFI,SMARCA5
CFI,TMEM150C
CFI,SPRY1
CFI,CYP2U1
CFI,FAM13A
CFI,GPRIN3
CFI,LINC01094
CFI,PCDH18
CFI,HPSE
LARP7,AFF1
PAPSS1,PDLIM5
PAPSS1,PF4
PAPSS1,PRDM8
PAPSS1,STBD1
PAPSS1,HERC6
PAPSS1,EIF4E
PAPSS1,BBS7
FAM241A,SCARB2
FAM241A,PLA2G12A
FAM241A,ADH5
FAM241A,LINC01094
FAM241A,ARHGAP24
FAM241A,COX18
SGMS2,BBS12
SGMS2,HERC5
SGMS2,BDH2
SGMS2,ELMOD2
SGMS2,MANBA
SGMS2,ADH5
SGMS2,SLC10A7
SGMS2,ANTXR2
SGMS2,OTUD4
PDE5A,NUP54
PDE5A,ZNF827
PDE5A,PDLIM5
PDE5A,MTHFD2L
PDE5A,HERC5
PDE5A,CXCL9
PDE5A,CFI
PDE5A,STBD1
PDE5A,FLJ20021
PDE5A,NAA15
PDE5A,RNF150
PDE5A,UBE2D3
PDE5A,HERC6
PDE5A,ZNF330
PDE5A,EIF4E
PDE5A,LARP1B
PDE5A,ANXA3
PDE5A,NPNT
PDE5A,AIMP1
PDE5A,HNRNPDL
PDE5A,USP53
PDE5A,PGRMC2
PDE5A,ABCE1
PARM1,NAP1L5
PARM1,PF4
PARM1,HERC5
PARM1,CFI
PARM1,SMARCA5
PARM1,MGST2
STBD1,GAB1
STBD1,TBC1D9
STBD1,C4orf36
STBD1,CCNG2
STBD1,ANAPC10
STBD1,BBS12
STBD1,GAR1
STBD1,HERC5
STBD1,PAPSS1
STBD1,PDE5A
STBD1,SCD5
STBD1,CCSER1
STBD1,INPP4B
STBD1,SPATA5
STBD1,TMEM150C
STBD1,CYP2U1
STBD1,ADH1B
STBD1,ADH5
STBD1,ANXA3
STBD1,C4orf3
STBD1,SLC10A7
STBD1,PLAC8
STBD1,WDFY3-AS2
STBD1,ANTXR2
STBD1,ARHGAP24
STBD1,PPM1K
BDH2,CCNA2
BDH2,USP38
BDH2,TIFA
BDH2,CASP6
BDH2,THAP6
BDH2,MTHFD2L
BDH2,ABRAXAS1
BDH2,SGMS2
BDH2,G3BP2
BDH2,NAA15
BDH2,UBE2D3
BDH2,LARP1B
BDH2,NUDT6
BDH2,PLK4
BDH2,C4orf33
BDH2,HNRNPDL
BDH2,GPAT3
BDH2,OTUD4
BDH2,PCDH18
BDH2,ABCE1
DAPP1,CXCL3
DAPP1,ABCG2
DAPP1,MCUB
FLJ20021,GAR1
FLJ20021,HERC5
FLJ20021,ABRAXAS1
FLJ20021,PDE5A
FLJ20021,ELMOD2
FLJ20021,HERC6
FLJ20021,MANBA
FLJ20021,ADH5
FLJ20021,NUDT6
FLJ20021,ARSJ
FLJ20021,LIN54
FLJ20021,C4orf33
FLJ20021,HELQ
FLJ20021,ANTXR2
FLJ20021,MGST2
FLJ20021,PPM1K
G3BP2,C4orf36
G3BP2,BDH2
G3BP2,ADH5
NAA15,GAB1
NAA15,TBCK
NAA15,SCARB2
NAA15,C4orf36
NAA15,CCNG2
NAA15,GAR1
NAA15,HERC5
NAA15,PDE5A
NAA15,BDH2
NAA15,RNF150
NAA15,HERC6
NAA15,INPP4B
NAA15,DKK2
NAA15,SPATA5
NAA15,CYP2U1
NAA15,ADH1B
NAA15,ADH5
NAA15,C4orf3
NAA15,FAM13A
NAA15,SLC10A7
NAA15,HNRNPDL
NAA15,WDFY3-AS2
NAA15,ANTXR2
NAA15,PPM1K
NAA15,ABCE1
PKD2,MTHFD2L
PKD2,CFI
PKD2,RAB33B-AS1
PKD2,DNAJB14
PKD2,DKK2
PKD2,MCUB
PKD2,LARP1B
PKD2,ANXA3
PKD2,NPNT
PKD2,AIMP1
PKD2,ADH1C
PKD2,USP53
PKD2,AFF1
PKD2,SLC39A8
HHIP-AS1,HERC6
ENOPH1,SPARCL1
ENOPH1,UNC5C
ENOPH1,ADH1B
ENOPH1,ADH5
ENOPH1,SEPTIN11
ENOPH1,ANTXR2
ENOPH1,MMRN1
HNRNPD,HERC5
HNRNPD,ADH5
HNRNPD,MGST2
EMCN,TBC1D9
EMCN,SETD7
EMCN,LINC01088
EMCN,CFI
EMCN,UBE2D3
EMCN,FGF2
EMCN,ANTXR2
EMCN,USP53
EMCN,PGRMC2
RAB33B-AS1,HERC5
RAB33B-AS1,PKD2
ELMOD2,NUP54
ELMOD2,SGMS2
ELMOD2,FLJ20021
ELMOD2,UBE2D3
RNF150,GAR1
RNF150,MTHFD2L
RNF150,PDE5A
RNF150,NAA15
RNF150,SDAD1
RNF150,ADH5
PRSS12,HERC5
PRSS12,SMARCA5
PRSS12,HERC6
SMARCA5,RPL34
SMARCA5,RAP1GDS1
SMARCA5,COQ2
SMARCA5,CFI
SMARCA5,PARM1
SMARCA5,PRSS12
SMARCA5,SEC24D
SMARCA5,ZNF330
SMARCA5,TMEM150C
SMARCA5,MAML3
SMARCA5,MCUB
SMARCA5,BLTP1
SMARCA5,OSTC
SMARCA5,ANXA5
SMARCA5,FAM47E
SMARCA5,HERC3
SMARCA5,HPSE
MAD2L1,TIFA
MAD2L1,EIF4E
MAD2L1,TMEM150C
MAD2L1,CXCL10
MAD2L1,CXCL11
MAD2L1,PPM1K
ZGRF1,ANKRD17
ZGRF1,ANAPC10
ZGRF1,HADH
SDAD1,TBCK
SDAD1,CASP6
SDAD1,CCNG2
SDAD1,GAR1
SDAD1,MTHFD2L
SDAD1,RNF150
SDAD1,ADH1B
SDAD1,ADH5
SDAD1,NUDT6
SDAD1,ARSJ
SDAD1,HNRNPDL
SDAD1,MGST2
SDAD1,ABCE1
UBE2D3,GAB1
UBE2D3,TBCK
UBE2D3,TBC1D9
UBE2D3,CASP6
UBE2D3,SCARB2
UBE2D3,C4orf36
UBE2D3,SCOC
UBE2D3,CCNG2
UBE2D3,BBS12
UBE2D3,TRAM1L1
UBE2D3,PLA2G12A
UBE2D3,HERC5
UBE2D3,HPGDS
UBE2D3,PDE5A
UBE2D3,BDH2
UBE2D3,EMCN
UBE2D3,ELMOD2
UBE2D3,SCD5
UBE2D3,MANBA
UBE2D3,INPP4B
UBE2D3,DKK2
UBE2D3,SPATA5
UBE2D3,UNC5C
UBE2D3,CYP2U1
UBE2D3,ADH1B
UBE2D3,ADH5
UBE2D3,NDNF
UBE2D3,C4orf3
UBE2D3,SLC10A7
UBE2D3,HNRNPDL
UBE2D3,WDFY3-AS2
UBE2D3,ANTXR2
UBE2D3,ARHGAP24
UBE2D3,MGST2
UBE2D3,PPM1K
SEC24D,HERC5
SEC24D,HPGDS
SEC24D,SMARCA5
SEC24D,HERC6
SEC24D,LINC01094
HERC6,GAB1
HERC6,GYPE
HERC6,HSD17B11
HERC6,ZNF827
HERC6,SCLT1
HERC6,TRAM1L1
HERC6,EXOSC9
HERC6,ABRAXAS1
HERC6,PAPSS1
HERC6,PDE5A
HERC6,FLJ20021
HERC6,NAA15
HERC6,HHIP-AS1
HERC6,PRSS12
HERC6,SEC24D
HERC6,SCD5
HERC6,ZNF330
HERC6,TMEM150C
HERC6,MAML3
HERC6,NDNF
HERC6,USO1
HERC6,LARP1B
HERC6,AREG
HERC6,THAP9
HERC6,PRKG2
HERC6,BMP3
HERC6,WDFY3-AS2
HERC6,ABCE1
SCD5,RAP1GDS1
SCD5,USP38
SCD5,SETD7
SCD5,CXCL2
SCD5,STBD1
SCD5,UBE2D3
SCD5,HERC6
SCD5,ZNF330
SCD5,EIF4E
SCD5,USO1
SCD5,AREG
SCD5,AIMP1
