Gene_1,Gene_2
RASGEF1B,SETD7
RASGEF1B,MMAA
RASGEF1B,CCNA2
RASGEF1B,PDLIM5
RASGEF1B,HELQ
RASGEF1B,PRSS12
RASGEF1B,SEC24D
RASGEF1B,CXCL3
RASGEF1B,CXCL9
RASGEF1B,CXCL2
RASGEF1B,ARSJ
RASGEF1B,HERC5
RASGEF1B,TRAM1L1
RASGEF1B,TMEM150C
RASGEF1B,HSD17B11
RASGEF1B,HADH
RASGEF1B,TNIP3
RASGEF1B,INTU
RASGEF1B,MGST2
RASGEF1B,ANXA3
RASGEF1B,COX18
RASGEF1B,ARHGAP24
RASGEF1B,SPARCL1
RASGEF1B,PRDM5
RASGEF1B,NUP54
RASGEF1B,EMCN
RASGEF1B,HPGDS
PARM1,HSPA4L
PARM1,TET2
PARM1,SLC39A8
PARM1,EXOSC9
PARM1,NAA15
PARM1,THAP6
PARM1,MRPS18C
PARM1,DAPP1
PARM1,METTL14
PARM1,ABCE1
PARM1,SLC10A7
PARM1,PGRMC2
PARM1,SPP1
PARM1,NPNT
PARM1,NAP1L5
PARM1,GAR1
PARM1,KLHL8
PARM1,SCLT1
PARM1,MANBA
PARM1,RAB33B
PARM1,NUDT9
PARM1,GAB1
PARM1,BTC
PARM1,SMARCA5
PARM1,GYPE
PARM1,PF4
PARM1,ADH1B
PARM1,SPATA5
PARM1,AIMP1
PARM1,ANXA5
PARM1,COQ2
PARM1,BMP2K
PARM1,PTPN13
PARM1,CXCL1
PARM1,CNOT6L
PARM1,SETD7
PARM1,MMAA
PARM1,MRPL1
PARM1,CCNA2
PARM1,WDFY3
PARM1,SEC31A
PARM1,PPM1K
PARM1,CXCL2
PARM1,ARSJ
PARM1,ANK2
PARM1,ANXA3
PARM1,ARHGAP24
PARM1,ELMOD2
PARM1,CAMK2D
PARM1,C4orf3
PARM1,PLK4
PARM1,HPSE
HSPA4L,ANKRD50
HSPA4L,RASGEF1B
HSPA4L,PARM1
HSPA4L,C4orf33
HSPA4L,CCNI
HSPA4L,ADH5
HSPA4L,SLC39A8
HSPA4L,PDE5A
HSPA4L,SYNPO2
HSPA4L,CCNG2
HSPA4L,EXOSC9
HSPA4L,INPP4B
HSPA4L,METAP1
HSPA4L,THAP6
HSPA4L,SLC10A7
HSPA4L,ZNF827
HSPA4L,TBC1D9
HSPA4L,NDUFC1
HSPA4L,THAP9
HSPA4L,SEC24B
HSPA4L,CXCL11
HSPA4L,BBS7
HSPA4L,SCARB2
HSPA4L,SCOC
HSPA4L,MAD2L1
HSPA4L,NAP1L5
HSPA4L,LARP1B
HSPA4L,SNCA
HSPA4L,CYP2U1
HSPA4L,SCLT1
HSPA4L,BTC
HSPA4L,SCD5
HSPA4L,GYPE
HSPA4L,PKD2
HSPA4L,OTUD4
HSPA4L,LSM6
HSPA4L,RASSF6
HSPA4L,C4orf36
HSPA4L,AIMP1
HSPA4L,COQ2
HSPA4L,BANK1
HSPA4L,BMP2K
HSPA4L,PTPN13
HSPA4L,SMARCAD1
HSPA4L,CXCL1
HSPA4L,USP38
HSPA4L,PDLIM5
HSPA4L,PRSS12
HSPA4L,BBS12
HSPA4L,SEC31A
HSPA4L,CXCL2
HSPA4L,PRKG2
HSPA4L,MAPK10
HSPA4L,TMEM150C
HSPA4L,HSD17B11
HSPA4L,SGMS2
