Gene_1,Gene_2
INTS12,LSM6
C4orf33,METAP1
CCNI,EIF4E
CCNI,PGRMC2
CCNI,DNAJB14
TET2,PPA2
ADH5,SCD5
SLC39A8,HHIP
FAT4,NAA15
PDE5A,BTC
PDE5A,SGMS2
EIF4E,CCNI
EIF4E,USP38
INPP4B,BTC
INPP4B,SGMS2
METAP1,C4orf33
NAA15,FAT4
PPA2,TET2
PPA2,FAM13A
PPA2,LSM6
MRPS18C,MGST2
MRPS18C,NAAA
HERC6,HERC5
ZNF827,MMRN1
RCHY1,TIGD2
PGRMC2,CCNI
FAM13A,PPA2
NDUFC1,ELOVL6
CDS1,HPSE
IL15,STBD1
IL15,DNAJB14
SNCA,SMARCAD1
SCLT1,BTC
FGF2,SEC31A
ELOVL6,NDUFC1
BTC,PDE5A
BTC,INPP4B
BTC,SCLT1
PLA2G12A,COX18
SCD5,ADH5
PKD2,ANXA3
FRAS1,SEC24D
LSM6,INTS12
LSM6,PPA2
LSM6,C4orf3
STBD1,IL15
C4orf36,ANXA3
AIMP1,DNAJB14
COQ2,ANXA3
TIGD2,RCHY1
SMARCAD1,SNCA
SMARCAD1,NUP54
MMRN1,ZNF827
USP38,EIF4E
SETD7,SEC24D
HHIP,SLC39A8
HHIP,DNAJB14
SEC24D,FRAS1
SEC24D,SETD7
SEC31A,FGF2
PPM1K,NFKB1
HERC5,HERC6
DNAJB14,CCNI
DNAJB14,IL15
DNAJB14,AIMP1
DNAJB14,HHIP
SGMS2,PDE5A
SGMS2,INPP4B
MGST2,MRPS18C
MFSD8,NFKB1
ANXA3,PKD2
ANXA3,C4orf36
ANXA3,COQ2
COX18,PLA2G12A
NAAA,MRPS18C
NFKB1,PPM1K
NFKB1,MFSD8
NUP54,SMARCAD1
C4orf3,LSM6
HPSE,CDS1
