Gene_1,Gene_2
ADH5,ADH1B
AIMP1,AFF1
ANKRD17,ANAPC10
ANTXR2,AFF1
ANTXR2,ALPK1
ANXA3,AIMP1
ARSJ,ANKRD50
ARSJ,ADH1B
ARSJ,AIMP1
ARSJ,ANXA3
BANK1,ANXA5
BBS12,ANK2
BBS7,ALPK1
BDH2,ANTXR2
BDH2,ADH5
BDH2,AIMP1
BMP2K,AIMP1
BMP2K,BDH2
BMP2K,AFF1
BMP2K,ANXA3
BTC,ANK2
C4orf3,ANTXR2
C4orf3,BDH2
CAMK2D,ANXA3
CASP6,AIMP1
CASP6,ADH1C
CCNA2,ADH5
CCNA2,AP1AR
CCNG2,ABCE1
CCNG2,ANKRD50
CCNG2,ANTXR2
CCNI,C4orf3
CCNI,C4orf33
CCNI,ALPK1
CCNI,ANTXR2
CCNI,ANAPC10
CDKL2,CAMK2D
CDKL2,ANAPC10
CDS1,ANK2
CDS1,ANKRD50
CFI,ANTXR2
CFI,CASP6
CFI,BDH2
CISD2,CASP6
CNOT6L,ANXA3
CNOT6L,AIMP1
COPS4,CCNA2
COPS4,ANAPC10
COQ2,BMP2K
COQ2,COPS4
COQ2,ANKRD17
COQ2,ALPK1
COQ2,AIMP1
COX18,AFF1
CXCL10,AIMP1
CXCL11,CXCL10
CXCL11,ARHGAP24
CXCL3,CXCL1
CXCL3,CXCL2
CXCL3,ANKRD17
CXCL5,CXCL3
CXCL9,CXCL10
CYP2U1,ANTXR2
DAPP1,ADH5
DAPP1,ANXA3
DAPP1,BMP2K
DAPP1,BANK1
DAPP1,AIMP1
DNAJB14,CDS1
DNAJB14,BMP2K
DNAJB14,CISD2
DNAJB14,AFF1
DNAJB14,BANK1
EIF4E,ALPK1
EIF4E,BANK1
ELF2,DNAJB14
ELMOD2,CCNI
ELMOD2,CASP6
ELMOD2,COPS4
ELOVL6,CYP2U1
EMCN,ARSJ
EMCN,ANXA3
EMCN,C4orf3
EMCN,AIMP1
EMCN,ANKRD50
ENOPH1,AP1AR
ENOPH1,ANAPC10
ENOPH1,BBS7
ENOPH1,CCNG2
ENPEP,CFI
ENPEP,COPS4
EXOSC9,C4orf3
EXOSC9,ABCG2
EXOSC9,AIMP1
FAM13A,ELF2
FAT4,ANTXR2
FAT4,ARSJ
FAT4,DNAJB14
FAT4,EMCN
FAT4,DKK2
FGF2,ANKRD50
FGF2,FAT4
FGF2,DAPP1
FGF2,ADH1B
FGF2,ARSJ
FGF2,DKK2
FGF2,ANK2
FRAS1,ANXA3
FRAS1,ANKRD50
FRAS1,AP1AR
G3BP2,CCNA2
G3BP2,CXCL2
GAB1,CYP2U1
GAB1,FRAS1
GAR1,CXCL3
GAR1,ANAPC10
GAR1,CXCL2
GAR1,ADH1B
GAR1,EIF4E
GPRIN3,G3BP2
GPRIN3,ARSJ
GPRIN3,DAPP1
GPRIN3,ELOVL6
GPRIN3,CDKL2
GPRIN3,CNOT6L
GPRIN3,BMP2K
GPRIN3,COQ2
GPRIN3,ANXA5
GPRIN3,CDS1
GYPE,FRAS1
GYPE,ANKRD50
GYPE,CCNG2
HADH,ANKRD50
HADH,CXCL11
HADH,DKK2
HADH,COQ2
HADH,C4orf3
HELQ,CYP2U1
HELQ,ADH5
HELQ,ANKRD50
HERC3,CDS1
HERC3,CASP6
HERC3,DNAJB14
HERC3,CISD2
HERC3,BMP2K
HERC5,ANXA3
HERC5,ANKRD50
HERC5,BTC
HERC5,FRAS1
HERC6,GPRIN3
HERC6,HERC5
HERC6,FRAS1
HERC6,BTC
HHIP,CDKL2
HHIP,HELQ
HHIP,HERC3
HHIP,CNOT6L
HHIP,FRAS1
HHIP,HERC6
HHIP,ELOVL6
HHIP,CYP2U1
HHIP,AFF1
HHIP,CDS1
HHIP,GAB1
HHIP,ANXA3
HPGDS,ELF2
HPGDS,BDH2
HPGDS,BBS7
HPGDS,BMP2K
HPSE,BMP2K
HPSE,ANTXR2
HPSE,COQ2
HPSE,ABCG2
HPSE,HERC3
HSD17B11,CDKL2
HSD17B11,CFI
HSPA4L,ADH1C
HSPA4L,DKK2
IL15,CXCL1
IL15,DNAJB14
IL15,DAPP1
INPP4B,CNOT6L
INTS12,CXCL11
INTS12,ANXA5
INTS12,BMP2K
INTS12,CXCL10
INTS12,CCNA2
INTS12,DNAJB14
INTS12,GAR1
INTU,CXCL9
INTU,COQ2
INTU,HSPA4L
INTU,ANTXR2
INTU,HPSE
INTU,CISD2
KLHL8,ELF2
KLHL8,ELMOD2
LARP1B,CCNG2
LARP1B,ANK2
LARP1B,GYPE
LARP1B,FGF2
LARP1B,ANKRD50
LARP1B,CYP2U1
LARP1B,ANTXR2
LARP7,DNAJB14
LARP7,GAR1
LARP7,COX18
LIN54,COX18
LSM6,ANKRD17
LSM6,CCNI
LSM6,LARP1B
LSM6,CFI
LSM6,BDH2
LSM6,HERC5
LSM6,COQ2
LSM6,GPRIN3
LSM6,FAM13A
MAD2L1,INTS12
MAD2L1,LIN54
MAD2L1,CCNA2
MAD2L1,G3BP2
MAML3,LARP1B
MAML3,ANTXR2
MANBA,INTS12
MANBA,C4orf33
MANBA,HERC6
MANBA,ALPK1
MANBA,CXCL11
MANBA,KLHL8
MANBA,FGF2
MANBA,GPRIN3
MANBA,HPSE
MANBA,ELMOD2
MANBA,HSD17B11
MANBA,CDKL2
MANBA,HADH
MANBA,BMP2K
MANBA,COQ2
MAPK10,BMP2K
MAPK10,ENOPH1
MAPK10,LARP7
MAPK10,ANXA5
MAPK10,BTC
MAPK10,INTU
METAP1,EIF4E
METAP1,CCNG2
METAP1,LARP1B
METAP1,ANXA3
METAP1,CDKL2
METAP1,HADH
METAP1,GAR1
METAP1,ELMOD2
METAP1,MANBA
METTL14,FAT4
METTL14,CCNG2
METTL14,DNAJB14
METTL14,ELF2
METTL14,HERC3
MFSD8,HPSE
MFSD8,MANBA
MFSD8,IL15
MFSD8,METAP1
MFSD8,EXOSC9
MGST2,ANK2
MGST2,FGF2
MGST2,LARP1B
MGST2,LSM6
MMAA,IL15
MMAA,CISD2
MMAA,FAT4
MMAA,EXOSC9
MMAA,CDKL2
MMAA,ELF2
MMRN1,FAT4
MMRN1,FGF2
MMRN1,ABCG2
MRPL1,METTL14
MRPL1,LARP1B
MRPL1,BANK1
MRPL1,HELQ
MRPL1,ENOPH1
MRPL1,BTC
MRPS18C,AFF1
MTHFD2L,CDKL2
MTHFD2L,HPGDS
MTHFD2L,GSTCD
MTHFD2L,LSM6
NAA15,MTHFD2L
NAA15,CCNG2
NAA15,EXOSC9
NAA15,GAR1
NAAA,COQ2
NAAA,CCNI
NAAA,HPSE
NAAA,INTU
NAAA,ARSJ
NAAA,BMP2K
NAP1L5,ANK2
NAP1L5,BBS12
NAP1L5,FAT4
NAP1L5,C4orf33
NAP1L5,LSM6
NAP1L5,ANXA5
NFKB1,INTU
NFKB1,MGST2
NFKB1,ANAPC10
NFKB1,HADH
NFKB1,ELF2
NFKB1,MTHFD2L
NFKB1,CXCL1
NFKB1,CCNI
NFKB1,KLHL8
NPNT,CFI
NPNT,NFKB1
NPNT,ALPK1
NPNT,FRAS1
NPNT,BMP2K
NPNT,BDH2
NPNT,ARSJ
NPNT,HSD17B11
NPNT,ANXA3
NPNT,MRPL1
NPNT,EMCN
NUDT9,HSD17B11
NUDT9,ANXA3
NUDT9,CXCL9
NUDT9,BMP2K
NUDT9,AIMP1
NUDT9,GYPE
NUDT9,MAD2L1
NUDT9,GPRIN3
NUP54,ELF2
NUP54,HADH
NUP54,COQ2
NUP54,KLHL8
NUP54,LARP1B
