Gene_1,Gene_2
ADH1C,ADH1B
ANKRD17,ANAPC10
ANKRD50,ALPK1
ANTXR2,AFF1
ANTXR2,ALPK1
ANXA3,AIMP1
ARSJ,ADH1B
ARSJ,AP1AR
ARSJ,ANXA3
BANK1,ANXA5
BBS12,ARHGAP24
BBS7,ALPK1
BDH2,AP1AR
BMP2K,BDH2
BMP2K,ARSJ
BMP2K,ANXA3
BTC,ANK2
C4orf3,ANTXR2
C4orf3,BDH2
C4orf3,AP1AR
CASP6,AIMP1
CASP6,ADH1C
CCNA2,AP1AR
CCNA2,ADH5
CCNG2,ABCE1
CCNI,C4orf33
CCNI,ALPK1
CCNI,ANAPC10
CCNI,C4orf3
CDKL2,CAMK2D
CDKL2,AFF1
CDS1,ANKRD50
CDS1,ANK2
CDS1,C4orf36
CFI,CCNI
CFI,ALPK1
CFI,CASP6
CISD2,BDH2
CNOT6L,CCNG2
CNOT6L,ALPK1
COQ2,COPS4
COQ2,CISD2
COQ2,ANKRD17
COX18,CISD2
CXCL11,CXCL10
CXCL3,CXCL1
CXCL3,CXCL2
CXCL5,CXCL3
CXCL9,CXCL10
CYP2U1,ANK2
DAPP1,ALPK1
DAPP1,ANKRD17
DAPP1,BMP2K
DAPP1,ANXA3
EIF4E,C4orf33
ELF2,BANK1
ELF2,AFF1
ELMOD2,CASP6
ELMOD2,COPS4
ELMOD2,CCNI
ELOVL6,CYP2U1
EMCN,C4orf3
EMCN,ANXA3
EMCN,ADH5
EMCN,BTC
ENOPH1,CCNG2
ENPEP,COPS4
EXOSC9,CCNG2
EXOSC9,C4orf3
EXOSC9,ABCG2
FAM13A,ELF2
FAM13A,COQ2
FAT4,DKK2
FAT4,ANTXR2
FAT4,ARSJ
FGF2,ANK2
FGF2,ARSJ
FGF2,ANKRD50
FGF2,ANKRD17
FRAS1,AP1AR
FRAS1,ANXA3
FRAS1,ANKRD50
G3BP2,CCNA2
GAB1,FRAS1
GAB1,CISD2
GAR1,CXCL2
GAR1,CXCL3
GPRIN3,G3BP2
GPRIN3,AP1AR
GPRIN3,BMP2K
GPRIN3,COQ2
GPRIN3,ANXA5
GPRIN3,CDKL2
GPRIN3,CDS1
GPRIN3,ELOVL6
GYPE,FRAS1
HADH,C4orf3
HADH,COQ2
HADH,ANKRD50
HADH,FAT4
HADH,FAM13A
HELQ,ANKRD50
HELQ,COPS4
HERC3,CASP6
HERC3,DNAJB14
HERC5,BTC
HERC6,BTC
HERC6,GPRIN3
HERC6,HERC5
HHIP,FRAS1
HHIP,CXCL2
HPGDS,BMP2K
HPGDS,ELF2
HPGDS,BDH2
HPGDS,BANK1
HPSE,CAMK2D
HPSE,CCNA2
HPSE,ABCG2
HPSE,BMP2K
HPSE,ANTXR2
HSD17B11,HPSE
HSD17B11,CFI
HSPA4L,BTC
HSPA4L,HHIP
HSPA4L,ARSJ
HSPA4L,ADH1C
IL15,AFF1
IL15,DAPP1
INPP4B,CNOT6L
INTS12,ANXA3
INTS12,CXCL10
INTS12,ANXA5
INTS12,BMP2K
INTS12,GAR1
INTU,CXCL9
INTU,COQ2
INTU,GAR1
INTU,ANTXR2
INTU,HSPA4L
KLHL8,BANK1
KLHL8,ELF2
KLHL8,ANTXR2
KLHL8,ELMOD2
LARP1B,ANTXR2
LARP1B,FGF2
LARP1B,ELF2
LARP7,GAR1
LARP7,DNAJB14
LARP7,COX18
LEF1,EMCN
LIN54,ANK2
LSM6,HERC5
LSM6,CFI
LSM6,LARP1B
LSM6,BDH2
LSM6,CCNI
LSM6,HERC6
LSM6,FAM13A
LSM6,ANXA5
MAD2L1,INTS12
MAD2L1,CCNA2
MAD2L1,G3BP2
MAML3,ANTXR2
MAML3,FRAS1
MANBA,CFI
MANBA,GPRIN3
MANBA,HPSE
MANBA,C4orf3
MANBA,COQ2
MANBA,HERC5
MANBA,CDKL2
MANBA,GSTCD
MANBA,INTS12
MANBA,FAT4
MANBA,HERC6
MANBA,CXCL11
MANBA,HSD17B11
