protein1,protein2
LEF1,TLE2
LEF1,NR4A2
LEF1,MYB
LEF1,H2AFX
LEF1,H2AFZ
LEF1,CDX1
LEF1,PAX5
LEF1,TLE1
LEF1,JUP
LEF1,H2AFV
LEF1,SMAD4
LEF1,CTNND2
LEF1,IGF1R
LEF1,MYC
LEF1,PITX2
EGF,AREG
EGF,UBE2D3
EGF,FGF2
EGF,GAB1
PAPSS1,IMPAD1
PAPSS1,SUOX
PAPSS1,PAPSS2
PAPSS1,BPNT1
PAPSS1,ARAF
PAPSS1,JAK2
PAPSS1,RAF1
LSG1,SDAD1
VDAC1,SNCA
UBE2B,UBE2D3
XPO5,EIF4E
PTPN23,PTPN13
EXOSC7,EXOSC9
ANK1,ANK2
CDK6,CCNA2
EIF4H,EIF4E
ACAT1,HADH
HNRNPH3,HNRNPDL
PIK3C2A,INPP4B
ITIH4,SCD5
PRPF6,LSM6
GABARAPL1,STBD1
NDUFA9,NDUFC1
SNRPF,NUP54
SNRPF,LSM6
CDK2,CCNA2
CDK2,GAR1
TARBP2,EIF4E
DHH,HHIP
BIN2,PPP3CA
SMARCC2,SMARCA5
ERBB3,AREG
RB1,CCNA2
PXN,GAB1
PXN,AREG
PXN,BTC
TINF2,CCNA2
NOP9,SDAD1
MFAP1,LSM6
SLC27A2,ELOVL6
COMMD4,COPS4
UBE2Q2,UBE2D3
BCL2A1,NFKB1
IGF1R,LEF1
BBS4,BBS12
BBS4,BBS7
PML,EIF4E
RPL3L,RPL34
NDUFB10,NDUFC1
COPS3,COPS4
NOB1,SDAD1
TP53,SETD7
TP53,MAPK10
TP53,RCHY1
TP53,CCNA2
TP53,CASP6
EIF4A3,CNOT6L
EIF4A3,ABCE1
CBX8,ANAPC10
ERBB2,AREG
ERBB2,GAB1
ERBB2,BTC
TXNL4A,LSM6
BCKDHA,PPM1K
SOD1,ANXA5
GEMIN7,NUP54
SLC6A3,SNCA
CACNG8,CAMK2D
PSMB6,NFKB1
PSMB6,HNRNPD
RPS11,MRPL1
RPS11,ABCE1
RPS11,RPL34
PLK4,BTRC
PLK4,STIL
PLK4,CCNA2
PLK4,CENPE
PLK4,CCNB2
PLK4,BUB1B
PLK4,MAD2L1
PLK4,BUB1
PLK4,ASPM
PLK4,TTK
PLK4,SASS6
PLK4,FBXW11
PLK4,KIF11
PLK4,CEP135
PLK4,CENPJ
PLK4,CCP110
PLK4,CEP192
PLK4,CEP152
PLK4,PCNT
PSMA5,HNRNPD
PSMA5,NFKB1
NUF2,CCNA2
NUF2,MAD2L1
MEF2D,CAMK2D
MEF2D,PPP3CA
SF3B4,LSM6
CERS2,SGMS2
CALM2,PPP3CA
CALM2,CAMK2D
RPS27A,RPL34
RPS27A,SMAD1
RPS27A,UBE2D3
RPS27A,ABCE1
RPS27A,TIFA
RPS27A,HNRNPD
WDPCP,INTU
SNRPG,LSM6
SNRPG,NUP54
MRPS5,MRPS18C
MRPS5,MRPL1
RTKN,HPGDS
RALB,MAPK10
POLR2D,METTL14
SUMF1,ARSJ
ACKR3,CXCL11
RAB5A,CXCL8
CTDSP1,SMAD1
RQCD1,CNOT6L
RQCD1,EIF4E
CTDSPL,SMAD1
LRIG1,AREG
LRIG1,BTC
LIMD1,EIF4E
ALDH1L1,MTHFD2L
RNF7,UBE2D3
AMT,MTHFD2L
ENOPH1,MRI1
ENOPH1,ADI1
ENOPH1,APIP
TRMT10A,TRMT5
KLHL8,KLHL13
KLHL8,RBX1
KLHL8,KLHL20
KLHL8,CUL3
KLHL8,KLHL3
KLHL8,KLHL22
KLHL8,LZTR1
KLHL8,GAN
KLHL8,KLHL42
KLHL8,KCTD13
KLHL8,KLHL21
KLHL8,ENC1
KLHL8,KLHL9
KLHL8,SPOP
KLHL8,KLHL12
KLHL8,KEAP1
KLHL8,SPOPL
KLHL8,KBTBD8
KLHL8,KLHL41
PYURF,PIGH
PYURF,PIGP
PYURF,PIGY
PYURF,PIGA
PYURF,PIGC
PYURF,DPM2
CISD2,WFS1
SPATA5,LACE1
CCNA2,CCNA1
CCNA2,E2F3
CCNA2,PTTG1
CCNA2,TERF1
CCNA2,E2F5
CCNA2,ASPM
CCNA2,PTP4A1
CCNA2,CDC25B
CCNA2,CDC45
CCNA2,MCM2
CCNA2,TERT
CCNA2,TTK
CCNA2,MYBL2
CCNA2,NCAPD2
CCNA2,CDC25A
CCNA2,MCM6
CCNA2,ORC4
CCNA2,NUF2
CCNA2,CDKN1B
CCNA2,CDCA8
CCNA2,RB1
CCNA2,CKAP2
CCNA2,UBE2C
CCNA2,TEN1-CDK3
CCNA2,MCM3
CCNA2,CCNE2
CCNA2,GAR1
CCNA2,BIRC5
CCNA2,OIP5
CCNA2,SMC4
CCNA2,MKI67
CCNA2,SCAPER
CCNA2,TPX2
CCNA2,CDK3
CCNA2,PRC1
CCNA2,CCND2
CCNA2,ATR
CCNA2,CDK1
CCNA2,MCM7
CCNA2,KIAA0101
CCNA2,MCM4
CCNA2,KIF20A
CCNA2,CDK6
CCNA2,AURKB
CCNA2,SKP2
CCNA2,TRIP13
CCNA2,CDKN1C
CCNA2,ESCO2
CCNA2,CDC20
CCNA2,CHEK1
CCNA2,KIF11
CCNA2,CABLES1
CCNA2,FZR1
CCNA2,SHCBP1
CCNA2,MNAT1
CCNA2,FEN1
CCNA2,MCM5
CCNA2,CDK2
CCNA2,SP1
CCNA2,ATRIP
CCNA2,PLK1
CCNA2,CCNB1
CCNA2,FOXM1
CCNA2,BCCIP
CCNA2,UHRF1
CCNA2,KIF2C
CCNA2,SPAG5
CCNA2,KIFC1
CCNA2,EXO1
CCNA2,KIF15
CCNA2,CDK4
CCNA2,CKS1B
CCNA2,CDK14
CCNA2,KIF4A
CCNA2,MCM8
CCNA2,ORC5
CCNA2,CDK7
CCNA2,GMNN
CCNA2,NEK2
CCNA2,PCNA
CCNA2,ORC2
CCNA2,WEE1
CCNA2,CDT1
CCNA2,NHP2
CCNA2,CDK9
CCNA2,E2F1
CCNA2,RBL2
CCNA2,SAMHD1
CCNA2,DTL
CCNA2,HDAC1
CCNA2,RRM2
CCNA2,FBXO5
CCNA2,RACGAP1
CCNA2,POT1
CCNA2,NCAPG
CCNA2,RTEL1
CCNA2,SKP1
CCNA2,ORC6
CCNA2,CDKN3
CCNA2,PKMYT1
CCNA2,DKC1
CCNA2,TYMS
CCNA2,E2F4
CCNA2,CCNT2
CCNA2,TACC3
CCNA2,MCM10
CCNA2,CCNE1
CCNA2,NDC80
CCNA2,E2F8
CCNA2,KIF23
CCNA2,CUL1
CCNA2,BUB1B
CCNA2,CENPF
CCNA2,WRAP53
CCNA2,CDC6
CCNA2,ASF1B
CCNA2,CDCA3
CCNA2,CDC25C
CCNA2,CENPE
CCNA2,CEP55
CCNA2,ARHGAP11A
CCNA2,CCNY
CCNA2,AURKA
CCNA2,ECT2
CCNA2,CDKN1A
CCNA2,CCNB2
CCNA2,TINF2
CCNA2,TP73
CCNA2,TFDP1
CCNA2,NUSAP1
CCNA2,ORC1
CCNA2,ORC3
CCNA2,SGOL1
CCNA2,E2F2
CCNA2,TERF2
CCNA2,ABL1
CCNA2,ESPL1
CCNA2,PLK4
CCNA2,BUB1
CCNA2,CKS2
CCNA2,CCNH
CCNA2,MAD2L1
CCNA2,TOP2A
CCNA2,PBK
CCNA2,CCNT1
CCNA2,RBL1
CCNA2,DLGAP5
CCNA2,MDM2
CCNA2,TP53
CCNA2,HJURP
CCNA2,CENPA
CCNA2,MELK
SETD7,SIRT1
SETD7,MYOD1
SETD7,HIST1H3A
SETD7,TP53
SETD7,RELA
SETD7,TAF10
SETD7,DPY30
NAF1,GAR1
NDUFS6,NDUFC1
RPL37,RPL34
SKP2,CCNA2
PLK2,MAD2L1
PELO,ABCE1
RASA1,SPRY1
COMMD10,COPS4
NHP2,CCNA2
NHP2,GAR1
KCNMB1,PRKG2
ZMAT2,LSM6
MUT,MMAA
NFKBIE,NFKB1
EGFR,BTC
EGFR,GAB1
EGFR,UBE2D3
EGFR,AREG
NDUFB11,NDUFC1
MRPS28,MRPS18C
TERF1,CCNA2
NDUFB9,NDUFC1
SIGMAR1,ANK2
NTRK2,GAB1
NOTCH1,MAML3
HSD17B12,ELOVL6
C11orf73,NUP54
RPS3,RPL34
RPS3,ABCE1
RPS3,MRPL1
LAMTOR1,EIF4E
LAMTOR1,LAMTOR3
FEZ1,SCOC
CEP164,SCLT1
COMMD7,COPS4
MRPL49,MRPL1
MRPL49,MRPS18C
SPOPL,KLHL8
CCT5,BBS7
CCT5,ABCE1
IL18,IL15
IL18,NFKB1
IL18,CXCL8
IL18,CXCL1
IL18,CXCL2
IL18,CXCL10
PTS,PRKG2
FREM2,FRAS1
SEC24D,PPP6C
SEC24D,SAR1B
SEC24D,BET1
SEC24D,SEC24A
SEC24D,GOSR2
SEC24D,PREB
SEC24D,PPP6R1
SEC24D,PPP6R3
SEC24D,SEC13
SEC24D,STX17
SEC24D,SEC31A
SEC24D,SAR1A
SEC24D,KLHL12
SEC24D,SCFD1
SEC24D,SEC23A
SEC24D,SEC23B
SEC24D,SEC31B
SEC24D,PEF1
SEC24D,STX5
SEC24D,PDCD6
SEC24D,ANKRD28
SEC24D,SEC24C
SEC24D,SEC16A
SEC24D,TMED7
SEC24D,SEC24B
SEC24D,SEC16B
DCP1B,LSM6
ANK3,ANK2
NDUFC2,NDUFC1
SCLT1,CEP83
SCLT1,CEP164
SCLT1,CEP89
SCLT1,FBF1
MMAA,MUT
MMAA,MCEE
MMAA,MMADHC
MMAA,MMAB
NVL,GAR1
GEMIN6,NUP54
ZC3H13,METTL14
GUCY1A2,PRKG2
FLT1,FGF2
PPM1B,HERC5
GRIA4,CAMK2D
GJA1,LEF1
BMP3,ACVR2B
SMARCA5,BAZ2A
SMARCA5,HIST1H4I
SMARCA5,HIST1H4L
SMARCA5,RNF168
SMARCA5,DNMT3B
SMARCA5,HIST1H4J
SMARCA5,DNMT1
SMARCA5,BPTF
SMARCA5,H2AFZ
SMARCA5,RUVBL1
SMARCA5,HIST1H4E
SMARCA5,CHRAC1
SMARCA5,HIST1H4B
SMARCA5,HIST1H2AJ
SMARCA5,SIN3A
SMARCA5,RBBP7
SMARCA5,HMGXB4
SMARCA5,C17orf49
SMARCA5,SF3B1
SMARCA5,SMARCA1
SMARCA5,RAD21
SMARCA5,GSK3B
SMARCA5,TTF1
SMARCA5,CECR2
SMARCA5,SMARCC2
SMARCA5,HIST1H4K
SMARCA5,HDAC2
SMARCA5,HIST4H4
SMARCA5,HIST1H4F
SMARCA5,BAZ1A
SMARCA5,BAZ1B
SMARCA5,SIRT6
SMARCA5,HIST2H4B
SMARCA5,HIST2H2BE
SMARCA5,HIST1H4H
SMARCA5,MYBBP1A
SMARCA5,HIST1H4C
SMARCA5,HIST1H4D
SMARCA5,HIST1H2BJ
SMARCA5,HDAC1
SMARCA5,HIST3H3
SMARCA5,HIST2H4A
SMARCA5,CDT1
SMARCA5,RBBP4
SMARCA5,POLE3
SMARCA5,RSF1
SMARCA5,HIST1H4A
BMP6,SMAD1
HNRNPU,HNRNPD
RANBP2,MAD2L1
RANBP2,EIF4E
RANBP2,NUP54
RANBP2,HSPA4L
C16orf74,PPP3CA
CERS3,SGMS2
UCHL1,SNCA
WNT3A,DKK2
KLHL41,KLHL8
APP,MAPK10
APP,CASP6
APP,NFKB1
APP,TSPAN5
APP,SNCA
FLCN,LAMTOR3
ACAA2,HADH
RPMS17,MRPS18C
DKK2,LRP5
DKK2,FZD2
DKK2,KREMEN2
DKK2,KREMEN1
DKK2,WNT8A
DKK2,FZD1
DKK2,WNT1
DKK2,WNT8B
DKK2,LRP6
DKK2,DKK1
DKK2,DKK4
DKK2,WNT3A
AGPAT5,CDS1
HSPA13,NUP54
NIFK,SDAD1
GEMIN5,NUP54
NUP205,EIF4E
NUP205,NUP54
NUP205,HSPA4L
CASP10,EIF4E
CASP10,PTPN13
SMC2,MAD2L1
KCNMA1,PRKG2
CXCL13,CXCL9
CXCL13,CXCL11
CXCL13,CXCL10
CCT8,BBS12
CCT8,BBS7
NAA11,NAA15
UBE2L6,UBE2D3
UBE2L6,HERC5
BAG4,HSPA4L
SASS6,PLK4
BUB1B,PLK4
BUB1B,MAD2L1
BUB1B,CCNA2
BUB1B,ANAPC10
PPARG,NFKB1
FZD1,DKK2
KIT,GAB1
CCNB2,PLK4
CCNB2,MAD2L1
CCNB2,CCNA2
CCNB2,NUP54
CCNB2,USO1
CCNB2,LIN54
COQ5,COQ2
SMAD6,SMAD1
MRPL17,MRPS18C
MRPL17,MRPL1
PIK3CB,GAB1
EIF5B,RPL34
CNOT11,EIF4E
CNOT11,CNOT6L
KPNB1,NUP54
MRPL10,MRPL1
IFNGR2,CAMK2D
NCOA5,NUP54
ARAF,PAPSS1
PSMB4,NFKB1
PSMB4,HNRNPD
GSTT2B,HPGDS
CALM3,CAMK2D
CALM3,PPP3CA
FTCD,MTHFD2L
S100B,NFKB1
S100B,FGF2
UBE2Q1,UBE2D3
CCR2,CXCL1
CCR5,CXCL8
CCR5,CXCL11
CCR5,CXCL9
CCR5,CXCL10
GPC2,HPSE
FGFR4,FGF2
CPSF4,NUP54
POLR2J,METTL14
DCUN1D1,COPS4
DCUN1D1,UBE2D3
AP2M1,PPP3CA
STAT5B,IL15
PSME3,NFKB1
PSME3,HNRNPD
WNT1,DKK2
EIF4A1,CASP6
EIF4A1,EIF4E
EIF4A1,CNOT6L
WDR24,LAMTOR3
STX5,USO1
STX5,RAB33B
STX5,SEC24B
STX5,SEC24D
LRP5,DKK2
ARPC5,GAB1
REL,NFKB1
NUP35,EIF4E
NUP35,NUP54
BBS5,BBS7
BBS5,BBS12
HPGDS,GRB2
HPGDS,PTGES
HPGDS,CDC42
HPGDS,GSTZ1
HPGDS,GSR
HPGDS,RHOA
HPGDS,PTGIS
HPGDS,MYC
HPGDS,GSTO1
HPGDS,GSTO2
HPGDS,PTGES2
HPGDS,PTGS1
HPGDS,AKR1C3
HPGDS,PTGS2
HPGDS,PTGES3
HPGDS,GSTT2B
HPGDS,PTGDS
HPGDS,RTKN
HELQ,POLA1
HELQ,POLN
MRPS18C,ENSG00000239789
MRPS18C,MRPL41
MRPS18C,MTIF2
MRPS18C,MRPL21
MRPS18C,ENSG00000214026
MRPS18C,MRPL49
MRPS18C,MRPS7
MRPS18C,MRPL17
MRPS18C,MRPS25
MRPS18C,MRPL44
MRPS18C,MRPL3
MRPS18C,MRPS30
MRPS18C,MRPL2
MRPS18C,MRPS27
MRPS18C,AURKAIP1
MRPS18C,MRPL20
MRPS18C,MRPL11
MRPS18C,MRPL39
MRPS18C,MRPS15
MRPS18C,MRPS5
MRPS18C,MRPL30
MRPS18C,MRPS14
MRPS18C,MRPL27
MRPS18C,MRPL54
MRPS18C,MRPS18B
MRPS18C,MRPL36
MRPS18C,MRPL32
MRPS18C,CHCHD1
MRPS18C,MRPS21
MRPS18C,MRPS10
MRPS18C,MRPS16
MRPS18C,RPMS17
MRPS18C,MRPL22
MRPS18C,MRPS22
MRPS18C,MRPS2
MRPS18C,MRPS9
MRPS18C,MRPL16
MRPS18C,DAP3
MRPS18C,MRPS6
MRPS18C,MRPL4
MRPS18C,MRPS26
MRPS18C,PTCD3
MRPS18C,MRPL19
MRPS18C,MRPL1
MRPS18C,MRPS36
MRPS18C,MRPL33
MRPS18C,MRPS31
MRPS18C,MRPS34
MRPS18C,RPL23L
MRPS18C,MRPS11
MRPS18C,MRPS28
MRPS18C,MRPL15
MRPS18C,MRPL47
MRPS18C,MRPS35
MRPS18C,MRPL28
MRPS18C,MRPL40
MRPS18C,MRPS24
MRPS18C,MRPL13
MRPS18C,MRPS18A
MRPS18C,MRPL38
MRPS18C,MRPL43
MRPS18C,MRPS33
MRPS18C,MTIF3
MRPS18C,MRPL46
MRPS18C,MRPL42
MRPS18C,MRPS23
MRPS18C,MRPS12
KRTCAP2,OSTC
CXCR1,CXCL2
CXCR1,CXCL1
CXCR1,CXCL5
CXCR1,PPBP
CXCR1,CXCL3
CXCR1,CXCL8
ARPC2,GAB1
CCT3,BBS12
CCT3,BBS7
IHH,HHIP
STT3B,OSTC
PRKCI,NFKB1
RETSAT,ADH1C
RETSAT,ADH1B
RETSAT,ADH5
CDS1,AGPAT2
CDS1,LPCAT4
CDS1,PLD2
CDS1,LCLAT1
CDS1,AGPAT4
CDS1,ABHD5
CDS1,LPCAT3
CDS1,PGS1
CDS1,AGPAT3
CDS1,CDIPT
CDS1,AGPAT1
CDS1,MBOAT1
CDS1,PPAPDC1B
CDS1,PLD3
CDS1,PLD1
CDS1,MBOAT7
CDS1,PPAPDC1A
CDS1,CRLS1
CDS1,MBOAT2
CDS1,AGPAT5
WDFY3,ATG5
WDFY3,GABARAP
WDFY3,SQSTM1
PTX3,FGF2
MTMR14,INPP4B
CXCL3,CXCR2
CXCL3,CXCL2
CXCL3,CXCR1
CXCL3,CXCL1
CXCL5,CXCR1
CXCL5,CXCR2
PPBP,CXCR1
PPBP,CXCR2
PF4,RUNX1
PF4,CXCL10
PF4,CCL5
PF4,CBFB
PF4,CXCL12
PF4,MAP2K3
PF4,CXCR3
PF4,PROCR
PF4,MAP2K6
PF4,CXCL9
PF4,CXCL11
PF4,PROC
PF4,SERPINC1
MRPL33,MRPS18C
MRPL33,MRPL1
LZTFL1,BBS7
CCR1,CXCL10
ITGB5,SPP1
SNIP1,LSM6
RPN1,OSTC
RPL39L,RPL34
UBXN7,UBE2D3
METAP1,METAP2
ADH5,ADHFE1
ADH5,CYP26A1
ADH5,ESD
ADH5,BCO1
ADH5,GSTP1
ADH5,ALDH2
ADH5,AOX1
ADH5,CYP2E1
ADH5,LRAT
ADH5,RETSAT
H2AFZ,LEF1
H2AFZ,SMARCA5
EMCN,OSGEP
BDH2,OXCT1
BDH2,OXCT2
BDH2,HMGCL
BDH2,BDH1
BDH2,HMGCLL1
BDH2,AACS
HSPA4L,NUP62
HSPA4L,BAG4
HSPA4L,NUP43
HSPA4L,NUP210
HSPA4L,NUP54
HSPA4L,HSPH1
HSPA4L,RAE1
HSPA4L,DNAJB1
HSPA4L,DNAJA2
HSPA4L,NUP98
HSPA4L,NUP153
HSPA4L,DNAJA1
HSPA4L,NUP37
HSPA4L,ST13
HSPA4L,BAG3
HSPA4L,NUP93
HSPA4L,NUP85
HSPA4L,NUP107
HSPA4L,NUP133
HSPA4L,HSPA9
HSPA4L,NUP88
HSPA4L,STIP1
HSPA4L,NUP205
HSPA4L,DNAJC7
HSPA4L,SEH1L
HSPA4L,NUP214
HSPA4L,SEC13
HSPA4L,HSPA12A
HSPA4L,DNAJB6
HSPA4L,NUP155
HSPA4L,BAG1
HSPA4L,HSPBP1
HSPA4L,TPR
HSPA4L,RANBP2
HSPA4L,NUPL1
HSPA4L,HSPA8
HSPA4L,NUP50
HSPA4L,BAG5
HSPA4L,NUP188
HSPA4L,BAG2
HSPA4L,DNAJC2
HSPA4L,NDC1
WDR82,PPP3CA
MAD2L1,ZWINT
MAD2L1,CDCA8
MAD2L1,UBE2C
MAD2L1,CDKN3
MAD2L1,ANAPC4
MAD2L1,SMC4
MAD2L1,TYMS
MAD2L1,CDC16
MAD2L1,BIRC5
MAD2L1,RRM1
MAD2L1,TPX2
MAD2L1,PRC1
MAD2L1,ANAPC2
MAD2L1,ANAPC13
MAD2L1,ANAPC7
MAD2L1,TACC3
MAD2L1,CDK1
MAD2L1,NDC80
MAD2L1,MCM7
MAD2L1,KIF23
MAD2L1,MAD2L2
MAD2L1,BUB3
MAD2L1,NUP98
MAD2L1,GINS2
MAD2L1,PTTG1
MAD2L1,ASPM
MAD2L1,NEK2
MAD2L1,TTK
MAD2L1,MCM2
MAD2L1,CDC45
MAD2L1,PCNA
MAD2L1,NCAPD2
MAD2L1,PCID2
MAD2L1,MCM6
MAD2L1,ANAPC10
MAD2L1,RACGAP1
MAD2L1,RRM2
MAD2L1,NUF2
MAD2L1,CDC27
MAD2L1,NCAPG
MAD2L1,ZWILCH
MAD2L1,SMC2
MAD2L1,NUSAP1
MAD2L1,MAD2L1BP
MAD2L1,CCNB1
MAD2L1,PLK1
MAD2L1,RANBP2
MAD2L1,ANAPC16
MAD2L1,BUB1
MAD2L1,ANAPC5
MAD2L1,PLK4
MAD2L1,CETN3
MAD2L1,ANAPC15
MAD2L1,KIF18A
MAD2L1,CKS2
MAD2L1,KIF2C
MAD2L1,TOP2A
MAD2L1,PBK
MAD2L1,CDC26
MAD2L1,NUP153
MAD2L1,CKS1B
MAD2L1,DLGAP5
MAD2L1,CENPA
MAD2L1,RFC3
MAD2L1,TPR
MAD2L1,MELK
MAD2L1,KIF4A
MAD2L1,MAD1L1
MAD2L1,CDC23
MAD2L1,MCM4
MAD2L1,CCNB3
MAD2L1,KIF20A
MAD2L1,BUB1B
MAD2L1,AURKB
MAD2L1,ANAPC1
MAD2L1,CENPF
MAD2L1,ENY2
MAD2L1,TRIP13
MAD2L1,PLK2
MAD2L1,ESCO2
MAD2L1,CCNA2
MAD2L1,CHEK1
MAD2L1,CDC20
MAD2L1,KIF11
MAD2L1,MCM3AP
MAD2L1,CENPE
MAD2L1,CETN2
MAD2L1,FZR1
MAD2L1,AURKA
MAD2L1,CCNB2
MAD2L1,RFC4
MAD2L1,MCM5
ANXA5,S100A12
ANXA5,MANF
ANXA5,WDR1
ANXA5,ACTG1
ANXA5,VCL
ANXA5,STXBP2
ANXA5,SOD1
ANXA5,TLN1
ANXA5,TTN
ANXA5,FLNA
ANXA5,PLEK
ANXA5,HABP4
ANXA5,CASP3
ANXA5,TAGLN2
ANXA5,HEPN1
ANXA5,ACTB
ANXA5,TUBA4A
GUCY1A3,PRKG2
GRIA2,CAMK2D
NAA15,NAA30
NAA15,HYPK
NAA15,NAA16
NAA15,NAA35
NAA15,NAA20
NAA15,NAA38
NAA15,NAA50
NAA15,NAA10
NAA15,NAA25
NAA15,NAA11
IL15,STAT5B
IL15,IL7
IL15,IL2
IL15,STAT5A
IL15,IL15RA
IL15,IL2RB
IL15,IL18
IL15,IL2RA
IL15,IL2RG
IL15,KLRK1
IL15,IL7R
HHIP,DHH
HHIP,SHH
HHIP,PTCH1
HHIP,IHH
ABCE1,RPS12
ABCE1,ABCF2
ABCE1,MMS19
ABCE1,EIF4A3
ABCE1,RPS27
ABCE1,RPS5
ABCE1,EIF2S2
ABCE1,RPL3
ABCE1,EIF3M
ABCE1,GTPBP4
ABCE1,EIF1
ABCE1,RPL4
ABCE1,RPL7
ABCE1,FBL
ABCE1,PELO
ABCE1,EPRS
ABCE1,RPS2
ABCE1,HBS1L
ABCE1,EIF3E
ABCE1,EIF5
ABCE1,RPS6
ABCE1,RPL9
ABCE1,RPS7
ABCE1,RPL12
ABCE1,CCT5
ABCE1,DDX18
ABCE1,EIF3I
ABCE1,ABCF1
ABCE1,RPS3
ABCE1,RPS25
ABCE1,FLNA
ABCE1,RPS17
ABCE1,EIF3G
ABCE1,RPS19
ABCE1,WDR12
ABCE1,RPS26
ABCE1,EIF3H
ABCE1,RPS28
ABCE1,RPS16
ABCE1,GNL3
ABCE1,EIF3F
ABCE1,EIF3D
ABCE1,RPS13
ABCE1,PA2G4
ABCE1,RPS3A
ABCE1,RPS29
ABCE1,EIF3C
ABCE1,RPS20
ABCE1,RPS24
ABCE1,RPL23
ABCE1,TSR1
ABCE1,WDR43
ABCE1,RPS18
ABCE1,RPS23
ABCE1,RPS14
ABCE1,RPS15A
ABCE1,RPS21
ABCE1,RPS11
ABCE1,EIF3B
ABCE1,EIF2S3
ABCE1,EIF1AX
ABCE1,RPL23A
ABCE1,EIF3CL
ABCE1,RPSA
ABCE1,RPS10-NUDT3
ABCE1,RPS27A
ABCE1,EIF3J
ABCE1,RPS15
ABCE1,EIF3A
ABCE1,RPS4X
ABCE1,RPS8
ABCE1,NOP58
ABCE1,EIF2S1
ABCE1,ETF1
ABCE1,EIF3L
ABCE1,RPL7A
ABCE1,G3BP1
ABCE1,RPS10
ABCE1,RPLP0
ABCE1,GNB2L1
ABCE1,RNASEL
ABCE1,RPS9
ABCE1,FAU
RPS23,ABCE1
RPS23,RPL34
NDUFS4,NDUFC1
UTP15,SDAD1
TLR3,UBE2D3
RAPGEF6,PTPN13
CSF2,CXCL8
CSF2,CXCL1
CSF2,CXCL2
CSF2,CXCL10
COG5,RAB33B
C7orf60,LAMTOR3
HSPA9,HSPA4L
HSPA9,NUP54
HSPA9,SNCA
SHH,HHIP
RAD21,SMARCA5
ORC5,CCNA2
NOS3,GAB1
DCAF13,SDAD1
DCAF13,COPS4
KIAA1429,METTL14
MELK,MAD2L1
MELK,CCNA2
INPPL1,INPP4B
RPL10L,RPL34
SLC18A2,SNCA
TSC1,LAMTOR3
METTL3,METTL14
TRUB1,GAR1
CPSF2,NUP54
LRRK2,SNCA
NDUFB8,NDUFC1
COPS2,COPS4
CCT2,BBS7
CCT2,BBS12
C2,CFI
TAF10,SETD7
MMP3,FGF2
MMP3,SPP1
COG1,RAB33B
KIAA0101,CCNA2
PLK1,CCNA2
PLK1,MAD2L1
PLK1,LIN54
CACNG2,CAMK2D
PATL1,LSM6
MRPL16,MRPL1
MRPL16,MRPS18C
RUNX1,PF4
TPX2,MAD2L1
TPX2,CCNA2
SNRPD1,NUP54
SNRPD1,LSM6
COQ4,COQ2
CRK,GAB1
NFATC3,PPP3CA
RRM1,MAD2L1
CDT1,SMARCA5
CDT1,CCNA2
CYP2A6,HSD17B11
CYP2A6,ADH1B
LIN37,LIN54
TSR1,ABCE1
TSR1,SDAD1
ACER1,SGMS2
NDUFA7,NDUFC1
ICT1,MRPL1
BIRC5,NUP54
BIRC5,MAD2L1
BIRC5,CCNA2
SRRM2,LSM6
DDB1,COPS4
POLR2G,METTL14
FADD,PTPN13
ANTXR1,ANTXR2
LSM3,LSM6
MBOAT2,CDS1
CCL11,CXCL10
HEXIM2,LARP7
MAP2K1,LAMTOR3
MAP2K1,GAB1
BUB1,CCNA2
BUB1,PLK4
BUB1,MAD2L1
AXIN2,LEF1
IGF1,FGF2
PAIP1,CNOT6L
PAIP1,EIF4E
PAIP1,HNRNPD
TRAPPC1,USO1
PA2G4,RPL34
PA2G4,SDAD1
PA2G4,ABCE1
RPS9,RPL34
RPS9,ABCE1
HSPA4,NUP54
HSPA4,HNRNPD
HSPA4,SNCA
HDAC3,NFKB1
SPRY3,SPRY1
IL12A,CXCL8
IL12A,CXCL2
IL12A,CXCL10
IL12A,CXCL1
BCR,DAPP1
NUDT9,PRPS1L1
NUDT9,NUDT5
NUDT9,PRPS2
NUDT9,PRPS1
NUDT9,PGM2
NKIRAS2,NFKB1
CDC25A,LIN54
CDC25A,CCNA2
UBE2E1,UBE2D3
COPS6,COPS4
MYEOV2,COPS4
PITX2,LEF1
KREMEN2,DKK2
UBB,HNRNPD
UBB,SMAD1
IL13,CXCL8
MN1,CXCL11
CEBPB,CXCL8
COG7,RAB33B
COG8,RAB33B
FEN1,CCNA2
PCBP1,HNRNPD
CXCL10,MAP2K6
CXCL10,CXCR3
CXCL10,CXCL2
CXCL10,CCL20
CXCL10,IL10
CXCL10,CCL22
CXCL10,CCL3
CXCL10,CCL11
CXCL10,CXCL1
CXCL10,ARRB1
CXCL10,CCL8
CXCL10,DNM1
CXCL10,CSF2
CXCL10,CCL3L3
CXCL10,PF4V1
CXCL10,PF4
CXCL10,SDC4
CXCL10,TNF
CXCL10,CXCL9
CXCL10,IL12B
CXCL10,LIF
CXCL10,CXCL11
CXCL10,CCR1
CXCL10,IL1A
CXCL10,GBP1
CXCL10,CCL4
CXCL10,CCL2
CXCL10,GNG2
CXCL10,CCR5
CXCL10,MAP2K3
CXCL10,CCR3
CXCL10,TLR4
CXCL10,CXCL13
CXCL10,CCL5
CXCL10,STAT1
CXCL10,IL6
